SXA1SXA1ZU77700                  60.000 03042019                Plant Value is inaccurate.
8190CL91WZ00180                  40.000 03042019                No data for reduction.
8190FL91ZS98360                 106.000 03042019                      106.000 is greater than available qty.
8190FLA0ZP63750                 160.000 03042019                No data for reduction.
8190SX21VAS1300                  30.000 03042019                       30.000 is greater than available qty.
8190SX21ZA1493C                   2.000 03042019                No data for reduction.
8190SX51ZQ91820                  15.000 03042019                       15.000 is greater than available qty.
8190SXA1W60653A                  25.000 03042019                       25.000 is greater than available qty.
8190SXA1ZP55240                   2.000 03042019                No data for reduction.
