8190           8190ZR45000           CL218190CL51000000120.000                    20171106MB1B                9I4    Deficit of SL Unrestricted-use 57 PC : ZR45000 8190 CL51
8190           8190WK0455A           SX518190SX91000000008.000                    20171109MB1B                9I3    Deficit of SL Unrestricted-use 8 PC : WK0455A 8190 SX51
8190           8190ZH50350           SX518190SX91000000001.000                    20171109MB1B                9I4    Deficit of SL Unrestricted-use 1 PC : ZH50350 8190 SX91
8190           8190WK0455A           SX518190SX91000000008.000                    20171110MB1B                9I3    Deficit of SL Unrestricted-use 8 PC : WK0455A 8190 SX51
8190           8190ZR45000           CL218190CL51000000020.000                    20171110MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZR45000 8190 CL21
8190           8190WK0455A           SX518190SX91000000008.000                    20171110MB1B                9I3    Deficit of SL Unrestricted-use 8 PC : WK0455A 8190 SX51
8190           8190ZR45000           CL218190CL51000000020.000                    20171113MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZR45000 8190 CL21
8190           8190ZR45000           CL218190CL51000000020.000                    20171113MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZR45000 8190 CL21
8190           8190ZY85310           SX518190SX91000000010.000                    20171114MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : ZY85310 8190 SX51
8190           8190ZR00630           SX518190SX91000000008.000                    20171114MB1B                9I3    Deficit of SL Unrestricted-use 8 PC : ZR00630 8190 SX51
8190           8190WK0455A           SX518190SX91000000008.000                    20171114MB1B                9I4    Deficit of SL Unrestricted-use 3 PC : WK0455A 8190 SX91
8190           8190ZQ89830           CL218190CL51000000020.000                    20171114MB1B                9I3    Deficit of SL Unrestricted-use 4 PC : ZQ89830 8190 CL21
8190           8190ZQ87840           CL218190CL51000000020.000                    20171114MB1B                9I3    Deficit of SL Unrestricted-use 7 PC : ZQ87840 8190 CL21
8190           8190ZQ88890           SX218190SX51000000015.000                    20171114MB1B                9I3    Deficit of SL Unrestricted-use 15 PC : ZQ88890 8190 SX21
8190           8190ZQ88890           SX218190SX51000000015.000                    20171114MB1B                9I3    Deficit of SL Unrestricted-use 15 PC : ZQ88890 8190 SX21
8190           8190ZV28510           SX518190SX91000000015.000                    20171114MB1B                9I3    Deficit of SL Unrestricted-use 15 PC : ZV28510 8190 SX51
8190           8190ZV28510           SX518190SX91000000015.000                    20171114MB1B                9I3    Deficit of SL Unrestricted-use 15 PC : ZV28510 8190 SX51
8190           8190WZ9853C           SX218190SX51000000001.000                    20171114MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : WZ9853C 8190 SX21
8190           8190ZQ87760           CL218190CL51000000020.000                    20171114MB1B                9I3    Deficit of SL Unrestricted-use 3 PC : ZQ87760 8190 CL21
8190           8190ZR01340           SX218190SX51000000008.000                    20171114MB1B                9I3    Deficit of SL Unrestricted-use 2 PC : ZR01340 8190 SX21
8190           8190ZQ96340           SX218190SX51000000008.000                    20171114MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZQ96340 8190 SX21
8190           8190ZQ88890           SX218190SX51000000015.000                    20171114MB1B                9I3    Deficit of SL Unrestricted-use 15 PC : ZQ88890 8190 SX21
8190           8190ZR00980           SX518190SX91000000008.000                    20171114MB1B                9I3    Deficit of SL Unrestricted-use 4 PC : ZR00980 8190 SX51
8190           8190ZR00800           SX518190SX91000000008.000                    20171114MB1B                9I3    Deficit of SL Unrestricted-use 2 PC : ZR00800 8190 SX51
8190           8190ZR01140           SX518190SX91000000008.000                    20171114MB1B                9I3    Deficit of SL Unrestricted-use 7 PC : ZR01140 8190 SX51
8190           8190ZR02190           SX518190SX91000000008.000                    20171114MB1B                9I3    Deficit of SL Unrestricted-use 2 PC : ZR02190 8190 SX51
8190           8190ZR01080           SX518190SX91000000008.000                    20171114MB1B                9I3    Deficit of SL Unrestricted-use 6 PC : ZR01080 8190 SX51
8190           8190ZR00760           SX518190SX91000000008.000                    20171114MB1B                9I3    Deficit of SL Unrestricted-use 2 PC : ZR00760 8190 SX51
8190           8190ZR00630           SX518190SX91000000008.000                    20171114MB1B                9I3    Deficit of SL Unrestricted-use 8 PC : ZR00630 8190 SX51
8190           8190ZR01500           SX518190SX91000000008.000                    20171114MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZR01500 8190 SX51
8190           8190ZR01110           SX518190SX91000000008.000                    20171114MB1B                9I3    Deficit of SL Unrestricted-use 8 PC : ZR01110 8190 SX51
8190           8190ZR00600           SX518190SX91000000008.000                    20171114MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZR00600 8190 SX51
8190           8190ZR00950           SX518190SX91000000008.000                    20171114MB1B                9I3    Deficit of SL Unrestricted-use 2 PC : ZR00950 8190 SX51
8190           8190ZR01360           SX518190SX91000000008.000                    20171114MB1B                9I3    Deficit of SL Unrestricted-use 4 PC : ZR01360 8190 SX51
8190           8190ZR45000           CL218190CL51000000020.000                    20171114MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZR45000 8190 CL21
8190           8190ZQ90540           CL518190CL91000000020.000                    20171114MB1B                9I3    Deficit of SL Unrestricted-use 20 PC : ZQ90540 8190 CL51
8190           8190WK0455A           SX518190SX91000000008.000                    20171114MB1B                9I3    Deficit of SL Unrestricted-use 8 PC : WK0455A 8190 SX51
8190           8190WK0455A           SX518190SX91000000008.000                    20171114MB1B                9I3    Deficit of SL Unrestricted-use 8 PC : WK0455A 8190 SX51
8190           8190WK0455A           SX518190SX91000000008.000                    20171114MB1B                9I3    Deficit of SL Unrestricted-use 8 PC : WK0455A 8190 SX51
8190           8190WK0455A           SX518190SX91000000008.000                    20171114MB1B                9I3    Deficit of SL Unrestricted-use 8 PC : WK0455A 8190 SX51
8190           8190W93547A           SX518190SX91000000015.000                    20171114MB1B                9I3    Deficit of SL Unrestricted-use 10 PC : W93547A 8190 SX51
