8190           8190ZT43800           FL218190FL51000000005.000                    20171130MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20171130MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20171130MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20171130MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20171130MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20171130MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20171130MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20171130MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20171130MB1B                9I3    
8190           8190ZQ88290           SX518190SX91000000015.000                    20171130MB1B                9I3    
8190           8190ZQ85050           SX518190SX91000000015.000                    20171130MB1B                9I3    
8190           8190ZQ86520           SX518190SX91000000015.000                    20171130MB1B                9I3    
8190           8190ZQ95180           SX518190SX91000000015.000                    20171130MB1B                9I3    
8190           8190ZQ95180           SX518190SX91000000015.000                    20171130MB1B                9I3    
8190           8190ZQ94800           SX518190SX91000000015.000                    20171130MB1B                9I3    
8190           8190ZQ94800           SX518190SX91000000015.000                    20171130MB1B                9I3    
8190           8190ZR10740           SX518190SX91000000015.000                    20171130MB1B                9I3    
8190           8190ZR10740           SX518190SX91000000015.000                    20171130MB1B                9I3    
8190           8190ZQ95010           SX518190SX91000000015.000                    20171130MB1B                9I3    
8190           8190ZQ95050           SX518190SX91000000015.000                    20171130MB1B                9I3    
8190           8190ZQ86440           SX518190SX91000000015.000                    20171130MB1B                9I3    
8190           8190ZQ86440           SX518190SX91000000015.000                    20171130MB1B                9I3    
8190           8190ZQ86440           SX518190SX91000000015.000                    20171130MB1B                9I3    
8190           8190ZQ86440           SX518190SX91000000015.000                    20171130MB1B                9I3    
8190           8190ZQ88480           SX518190SX91000000015.000                    20171130MB1B                9I3    
8190           8190ZQ95180           SX518190SX91000000015.000                    20171130MB1B                9I3    
8190           8190ZQ95180           SX518190SX91000000015.000                    20171130MB1B                9I3    
8190           8190ZQ88290           SX518190SX91000000015.000                    20171130MB1B                9I3    
8190           8190ZQ88970           SX518190SX91000000015.000                    20171130MB1B                9I3    
8190           8190ZQ86520           SX518190SX91000000015.000                    20171130MB1B                9I3    
8190           8190ZQ84830           SX518190SX91000000015.000                    20171130MB1B                9I3    
8190           8190ZQ88970           SX518190SX91000000015.000                    20171130MB1B                9I3    
8190           8190ZQ84830           SX518190SX91000000015.000                    20171130MB1B                9I3    
8190           8190ZQ84830           SX518190SX91000000015.000                    20171130MB1B                9I3    
8190           8190ZQ84830           SX518190SX91000000015.000                    20171130MB1B                9I3    
8190           8190ZQ84830           SX518190SX91000000015.000                    20171130MB1B                9I3    
8190           8190ZQ88620           SX518190SX91000000015.000                    20171130MB1B                9I3    
8190           8190ZQ88620           SX518190SX91000000015.000                    20171130MB1B                9I3    
8190           8190ZQ89090           SX518190SX91000000015.000                    20171130MB1B                9I3    
8190           8190ZQ89090           SX518190SX91000000015.000                    20171130MB1B                9I3    
8190           8190ZQ86440           SX518190SX91000000015.000                    20171130MB1B                9I3    
8190           8190ZQ86250           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190WY75680           CLB98190CL91000000010.000                    20171130MB1B                9I3    
8190           8190WY75680           CLB98190CL91000000010.000                    20171130MB1B                9I3    
8190           8190WY75680           CLB98190CL91000000010.000                    20171130MB1B                9I3    
8190           8190WY75680           CLB98190CL91000000010.000                    20171130MB1B                9I3    
8190           8190WY75680           CLB98190CL91000000010.000                    20171130MB1B                9I3    
8190           8190ZR12440           CLB98190CL91000000010.000                    20171130MB1B                9I3    
8190           8190ZR12440           CLB98190CL91000000010.000                    20171130MB1B                9I3    
8190           8190ZR12440           CLB98190CL91000000010.000                    20171130MB1B                9I3    
8190           8190ZR12440           CLB98190CL91000000010.000                    20171130MB1B                9I3    
8190           8190ZR12440           CLB98190CL91000000010.000                    20171130MB1B                9I3    
8190           8190ZR12440           CLB98190CL91000000010.000                    20171130MB1B                9I3    
8190           8190WZ93340           CLB98190CL91000000010.000                    20171130MB1B                9I3    
8190           8190WY75680           CLB98190CL91000000010.000                    20171130MB1B                9I3    
8190           8190ZQ89380           CL218190CL51000000020.000                    20171130MB1B                9I3    
8190           8190ZU22730           FL518190FL91000000005.000                    20171130MB1B                9I3    
8190           8190ZQ89110           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ88890           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZP67910           CLA08190CL51000000040.000                    20171130MB1B                9I3    
8190           8190ZP67910           CLA08190CL51000000040.000                    20171130MB1B                9I3    
8190           8190ZP67910           CLA08190CL51000000040.000                    20171130MB1B                9I3    
8190           8190ZP67910           CLA08190CL51000000040.000                    20171130MB1B                9I3    
8190           8190ZP67910           CLA08190CL51000000040.000                    20171130MB1B                9I3    
8190           8190ZP67910           CLA08190CL51000000040.000                    20171130MB1B                9I3    
8190           8190ZP67910           CLA08190CL51000000040.000                    20171130MB1B                9I3    
8190           8190ZP67910           CLA08190CL51000000040.000                    20171130MB1B                9I3    
8190           8190ZP67910           CLA08190CL51000000040.000                    20171130MB1B                9I3    
8190           8190ZP67910           CLA08190CL51000000040.000                    20171130MB1B                9I3    
8190           8190WZ93340           CLB98190CL91000000010.000                    20171130MB1B                9I3    
8190           8190WZ93340           CLB98190CL91000000010.000                    20171130MB1B                9I3    
8190           8190WZ93340           CLB98190CL91000000010.000                    20171130MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20171130MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20171130MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20171130MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20171130MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20171130MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20171130MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20171130MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20171130MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20171130MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20171130MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20171130MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20171130MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20171130MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20171130MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20171130MB1B                9I3    
8190           8190WZ93340           CLB98190CL91000000010.000                    20171130MB1B                9I3    
8190           8190WZ93340           CLB98190CL91000000010.000                    20171130MB1B                9I3    
8190           8190W52871A           CLB98190CL91000000010.000                    20171130MB1B                9I3    
8190           8190W52871A           CLB98190CL91000000010.000                    20171130MB1B                9I3    
8190           8190W52871A           CLB98190CL91000000010.000                    20171130MB1B                9I3    
8190           8190W52871A           CLB98190CL91000000010.000                    20171130MB1B                9I3    
8190           8190W52871A           CLB98190CL91000000010.000                    20171130MB1B                9I3    
8190           8190W52871A           CLB98190CL91000000010.000                    20171130MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20171130MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20171130MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20171130MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20171130MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20171130MB1B                9I3    
8190           8190WN4523B           FL518190FL91000000050.000                    20171130MB1B                9I3    
8190           8190ZU02400           FL518190FL91000000005.000                    20171130MB1B                9I3    
8190           8190ZU02400           FL518190FL91000000005.000                    20171130MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20171130MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20171130MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20171130MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20171130MB1B                9I3    
8190           8190ZY13600           VN518190VN91000000030.000                    20171130MB1B                9I3    
8190           8190ZQ89380           CL218190CL51000000020.000                    20171130MB1B                9I3    
8190           8190ZQ89380           CL218190CL51000000020.000                    20171130MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ86110           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ86540           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20171130MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20171130MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20171130MB1B                9I3    
8190           8190WN4523B           FL518190FL91000000050.000                    20171130MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171130MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171130MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171130MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171130MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171130MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171130MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171130MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171130MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20171130MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20171130MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20171130MB1B                9I3    
8190           8190ZQ86640           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ88320           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ86640           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ88520           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ83930           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ86770           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ86770           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ88520           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ88320           SX218190SX51000000015.000                    20171130MB1B                9I3    
8190           8190ZQ84860           SX218190SX51000000015.000                    20171130MB1B                9I3    
