8190           8190WY91390           SXA18190SX21000000005.000                    20171221MB1B                9I3    
8190           8190ZP90580           SXA08190SX51000000030.000                    20171221MB1B                9I3    
8190           8190WY91390           SXA18190SX21000000005.000                    20171221MB1B                9I3    
8190           8190WY91390           SXA18190SX21000000005.000                    20171221MB1B                9I3    
8190           8190WY91390           SXA18190SX21000000005.000                    20171221MB1B                9I3    
8190           8190WY91390           SXA18190SX21000000005.000                    20171221MB1B                9I3    
8190           8190ZA52480           SXA18190SX21000000005.000                    20171221MB1B                9I3    
8190           8190ZT45590           FL218190FL51000000020.000                    20171221MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20171221MB1B                9I3    
8190           8190ZQ11650           SXA08190SX51000000030.000                    20171221MB1B                9I3    
8190           8190ZQ11650           SXA08190SX51000000030.000                    20171221MB1B                9I3    
8190           8190ZP67280           SXA08190SX21000000030.000                    20171221MB1B                9I3    
8190           8190ZU02650           FL218190FL51000000020.000                    20171221MB1B                9I3    
8190           8190ZP90580           SXA08190SX51000000030.000                    20171221MB1B                9I3    
8190           8190ZQ11650           SXA08190SX51000000030.000                    20171221MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20171221MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20171221MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20171221MB1B                9I3    
8190           8190ZQ11650           SXA08190SX51000000030.000                    20171221MB1B                9I3    
8190           8190ZQ11650           SXA08190SX51000000030.000                    20171221MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20171221MB1B                9I3    
8190           8190ZR48720           SXA08190SX21000000030.000                    20171221MB1B                9I3    
8190           8190ZP63660           SXA08190SX21000000030.000                    20171221MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20171221MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20171221MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20171221MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20171221MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20171221MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20171221MB1B                9I3    
8190           8190ZP62070           CLA08190CL21000000040.000                    20171221MB1B                9I3    
8190           8190ZP62030           CLA08190CL21000000040.000                    20171221MB1B                9I3    
8190           8190ZP62030           CLA08190CL21000000040.000                    20171221MB1B                9I3    
8190           8190ZP62020           CLA08190CL21000000040.000                    20171221MB1B                9I3    
8190           8190ZP62020           CLA08190CL21000000040.000                    20171221MB1B                9I3    
8190           8190ZP62110           CLA08190CL21000000040.000                    20171221MB1B                9I3    
8190           8190ZP62120           CLA08190CL21000000040.000                    20171221MB1B                9I3    
8190           8190ZP63660           SXA08190SX21000000030.000                    20171221MB1B                9I3    
8190           8190ZP66740           SXA08190SX21000000030.000                    20171221MB1B                9I3    
8190           8190ZP66740           SXA08190SX21000000030.000                    20171221MB1B                9I3    
8190           8190ZP62170           CLA08190CL21000000040.000                    20171221MB1B                9I3    
8190           8190ZP62160           CLA08190CL21000000040.000                    20171221MB1B                9I3    
8190           8190ZP62560           CLA08190CL21000000040.000                    20171221MB1B                9I3    
8190           8190ZP62140           CLA08190CL21000000040.000                    20171221MB1B                9I3    
8190           8190ZP62140           CLA08190CL21000000040.000                    20171221MB1B                9I3    
8190           8190ZP62130           CLA08190CL21000000040.000                    20171221MB1B                9I3    
8190           8190ZP62130           CLA08190CL21000000040.000                    20171221MB1B                9I3    
8190           8190ZP61910           CLA08190CL21000000500.000                    20171221MB1B                9I3    
8190           8190ZP62010           CLA08190CL21000000040.000                    20171221MB1B                9I3    
8190           8190ZP61980           CLA08190CL21000000040.000                    20171221MB1B                9I3    
8190           8190ZP61940           CLA08190CL21000000100.000                    20171221MB1B                9I3    
8190           8190ZP61920           CLA08190CL21000000100.000                    20171221MB1B                9I3    
8190           8190ZP61920           CLA08190CL21000000100.000                    20171221MB1B                9I3    
8190           8190ZQ91900           CL218190CL51000000020.000                    20171221MB1B                9I3    
8190           8190ZQ91900           CL218190CL51000000020.000                    20171221MB1B                9I3    
8190           8190ZQ91900           CL218190CL51000000020.000                    20171221MB1B                9I3    
8190           8190ZQ91900           CL218190CL51000000020.000                    20171221MB1B                9I3    
8190           8190ZQ89740           CL218190CL51000000020.000                    20171221MB1B                9I3    
8190           8190ZQ89740           CL218190CL51000000020.000                    20171221MB1B                9I3    
8190           8190ZQ89740           CL218190CL51000000020.000                    20171221MB1B                9I3    
8190           8190ZR45000           CL218190CL51000000020.000                    20171221MB1B                9I3    
8190           8190ZP61940           CLA08190CL21000000100.000                    20171221MB1B                9I3    
8190           8190ZP61930           CLA08190CL21000000040.000                    20171221MB1B                9I3    
8190           8190ZP61980           CLA08190CL21000000040.000                    20171221MB1B                9I3    
8190           8190ZP61970           CLA08190CL21000000040.000                    20171221MB1B                9I3    
8190           8190ZP61970           CLA08190CL21000000040.000                    20171221MB1B                9I3    
8190           8190ZP61900           CLA08190CL21000000500.000                    20171221MB1B                9I3    
8190           8190ZP61590           CLA08190CL21000000040.000                    20171221MB1B                9I3    
8190           8190ZP61390           CLA08190CL21000000040.000                    20171221MB1B                9I3    
8190           8190ZP61610           CLA08190CL21000000040.000                    20171221MB1B                9I3    
8190           8190ZP61950           CLA08190CL21000000100.000                    20171221MB1B                9I3    
8190           8190ZP61950           CLA08190CL21000000100.000                    20171221MB1B                9I3    
8190           8190ZP61950           CLA08190CL21000000100.000                    20171221MB1B                9I3    
8190           8190ZP61960           CLA08190CL21000000040.000                    20171221MB1B                9I3    
8190           8190ZR45070           CL218190CL51000000020.000                    20171221MB1B                9I3    
8190           8190ZP66230           SXA08190SX21000000030.000                    20171221MB1B                9I3    
8190           8190ZP63830           SXA08190SX21000000030.000                    20171221MB1B                9I3    
8190           8190ZP63810           SXA08190SX21000000030.000                    20171221MB1B                9I3    
8190           8190ZP63510           SXA08190SX21000000030.000                    20171221MB1B                9I3    
8190           8190ZP63510           SXA08190SX21000000030.000                    20171221MB1B                9I3    
8190           8190ZP62850           SXA08190SX21000000030.000                    20171221MB1B                9I3    
8190           8190ZP62830           SXA08190SX21000000030.000                    20171221MB1B                9I3    
8190           8190ZP62830           SXA08190SX21000000030.000                    20171221MB1B                9I3    
8190           8190ZP62830           SXA08190SX21000000030.000                    20171221MB1B                9I3    
8190           8190ZP62830           SXA08190SX21000000030.000                    20171221MB1B                9I3    
8190           8190ZP62760           SXA08190SX21000000030.000                    20171221MB1B                9I3    
8190           8190ZP62760           SXA08190SX21000000030.000                    20171221MB1B                9I3    
