8190           8190ZT45590           FL218190FL51000000020.000                    20181130MB1B                9I3    
8190           8190ZT45170           FL218190FL51000000020.000                    20181130MB1B                9I3    
8190           8190ZT45520           FL218190FL51000000020.000                    20181130MB1B                9I3    
8190           8190ZP64040           SXA08190SX21000000030.000                    20181130MB1B                9I3    
8190           8190ZP64040           SXA08190SX21000000030.000                    20181130MB1B                9I3    
8190           8190ZP64040           SXA08190SX21000000030.000                    20181130MB1B                9I3    
8190           8190ZP64040           SXA08190SX21000000030.000                    20181130MB1B                9I3    
8190           8190ZP66930           SXA08190SX21000000030.000                    20181130MB1B                9I3    
8190           8190ZP66930           SXA08190SX21000000030.000                    20181130MB1B                9I3    
8190           8190ZP66930           SXA08190SX21000000030.000                    20181130MB1B                9I3    
8190           8190ZT91380           FL218190FL51000000020.000                    20181130MB1B                9I3    
8190           8190ZT45710           FL218190FL51000000020.000                    20181130MB1B                9I3    
8190           8190ZT45710           FL218190FL51000000020.000                    20181130MB1B                9I3    
8190           8190ZT45590           FL218190FL51000000020.000                    20181130MB1B                9I3    
8190           8190ZT45590           FL218190FL51000000020.000                    20181130MB1B                9I3    
8190           8190ZT45070           FL218190FL51000000020.000                    20181130MB1B                9I3    
8190           8190ZT45070           FL218190FL51000000020.000                    20181130MB1B                9I3    
8190           8190ZT43910           FL218190FL51000000020.000                    20181130MB1B                9I3    
8190           8190ZT44180           FL218190FL51000000020.000                    20181130MB1B                9I3    
8190           8190ZT44180           FL218190FL51000000020.000                    20181130MB1B                9I3    
8190           8190ZT45640           FL218190FL51000000020.000                    20181130MB1B                9I3    
8190           8190ZT45640           FL218190FL51000000020.000                    20181130MB1B                9I3    
8190           8190ZP66930           SXA08190SX21000000030.000                    20181130MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181130MB1B                9I3    
8190           8190ZA52450           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20181130MB1B                9I3    
8190           8190ZC7290A           SX518190SX91000000001.000                    20181130MB1B                9I3    
