8190CL51ZG24460                 360.000 06122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZG25220                 360.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZG25220                 540.000 06122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZG2961A                 180.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZG2964A                 180.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZG2966A                 360.000 06122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZJ29960                 220.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZJ2996B                  60.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZJ29970                 240.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZJ2997B                  40.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZJ2997B                  40.000 06122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZJ29980                 220.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZJ2998B                  60.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZJ29990                 240.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZJ2999B                  80.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZQ87570                  20.000 06122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZQ87570                 110.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZQ87630                  20.000 06122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZQ87630                  73.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZQ87730                  20.000 06122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZQ87730                 205.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZQ87810                  20.000 06122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZQ87810                 139.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZQ87860                  20.000 06122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZQ87860                 155.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZQ87970                  20.000 06122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZQ87970                 233.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZQ88060                  20.000 06122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZQ88060                 252.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZQ88130                  20.000 06122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZQ88130                 168.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZQ89350                  20.000 06122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZQ89350                 101.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZQ89480                  40.000 06122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZQ89480                 194.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZQ89610                 172.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZQ89700                 144.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZQ89800                 190.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZQ89910                  91.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZQ90000                  20.000 06122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZQ90000                  83.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZQ90110                  20.000 06122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZQ90110                  57.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZQ90280                 138.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZQ90360                 148.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZQ91680                  60.000 06122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZQ91680                 128.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZQ91920                  20.000 06122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZQ91920                  98.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZQ91990                 112.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZQ92370                  54.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZQ92900                  20.000 06122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZQ92900                  54.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZQ92930                  78.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZQ93030                  40.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZQ93070                  19.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZQ93090                  37.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZQ93110                  10.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZQ93130                  58.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZQ93150                  20.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZQ93240                  58.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZQ93290                  39.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZQ93330                  73.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZQ93350                  87.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZQ93380                  29.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZQ93400                  18.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZQ93480                   4.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZQ93510                  28.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZQ93560                  34.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZR44970                 100.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZR45040                  39.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZT96850                  20.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZT97020                  11.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZU28440                  20.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZU28470                  16.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZU70070                  60.000 06122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL51ZU70070                 120.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL91WZ00120                  13.000 06122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL91WZ00120                 180.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL91WZ00160                   8.000 06122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL91WZ00160                 280.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CL91WZ44910                 100.000 05122018                      100.000 is greater than available qty.
8190CLA0VAS1350                 720.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA0VAZ4660                 120.000 05122018                      120.000 is greater than available qty.
8190CLA0VAZ4700                  60.000 05122018                No data for reduction.
8190CLA0W53414A                 120.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA0W53415A                 240.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA0W53542A                 160.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA0ZP61400                 120.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA0ZP61410                 200.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA0ZP61420                 520.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA0ZP61430                 160.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA0ZP61440                 120.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA0ZP61450                 240.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA0ZP61460                 160.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA0ZP61470                 120.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA0ZP61480                 120.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA0ZP61490                 120.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA0ZP61500                 240.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA0ZP61510                  80.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA0ZP61520                 280.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA0ZP61530                 160.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA0ZP61560                  40.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA0ZP61570                 200.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA0ZP61580                 120.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA0ZP61590                 720.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA0ZP61630                 440.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA0ZP61650                 120.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA0ZP61740                 120.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA0ZP61770                 120.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA0ZP61800                 200.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA0ZP61810                 240.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA0ZP61820                 160.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA0ZP61830                 160.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA0ZP61840                 120.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA0ZP61850                 120.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA0ZP61860                 400.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA0ZP61870                 120.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA0ZP61890                  40.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA0ZP61910                4500.000 06122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA0ZP61970                 760.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA0ZP61980                2280.000 06122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA0ZP62010                 760.000 06122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA0ZP62020                 720.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA0ZP62020                 720.000 06122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA0ZP62070                 760.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA0ZP62080                2080.000 06122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA0ZP62090                 760.000 06122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA0ZP62190                  80.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA0ZW90400                 800.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA0ZW90410                 800.000 05122018                      800.000 is greater than available qty.
8190CLA0ZW90420                 800.000 06122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA0ZW90460                 800.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA0ZW90470                 760.000 05122018                      760.000 is greater than available qty.
8190CLA0ZW92220                  80.000 06122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA2ZG2423B                 360.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA2ZG2426B                 360.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA2ZG2428B                 540.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA2ZG2429B                 180.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA2ZG2431B                 900.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA2ZG2441B                1080.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA2ZG2446B                 720.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA2ZG2521B                 360.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA2ZG2522B                 180.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA2ZG2524B                 900.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA2ZG29620                 180.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA2ZG29630                 720.000 06122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA2ZG29650                 180.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA2ZG29690                 360.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLA2ZG29710                 360.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLB9W52871A                 120.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLB9WY75680                 150.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLB9WY75970                  60.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190CLB9ZR12000                  70.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190FL21ZT43800                 271.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190FL21ZT43850                 400.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190FL21ZT43910                  40.000 06122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190FL21ZT43910                 403.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190FL21ZT44180                  40.000 06122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190FL21ZT44180                  72.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190FL21ZT44270                  60.000 06122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190FL21ZT44270                 352.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190FL21ZT44660                 100.000 06122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190FL21ZT44660                 316.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190FL21ZT44730                 100.000 06122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190FL21ZT44730                 264.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190FL21ZT44810                  60.000 06122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190FL21ZT44810                 321.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190FL21ZT44880                  80.000 06122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190FL21ZT44880                 329.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190FL21ZT45070                  74.000 06122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190FL21ZT45170                 100.000 06122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190FL21ZT45170                 200.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190FL21ZT45260                 157.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190FL21ZT45380                  40.000 06122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190FL21ZT45380                  94.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190FL21ZT45450                  13.000 06122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190FL21ZT45520                  80.000 06122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190FL21ZT45520                 166.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190FL21ZT45590                 120.000 06122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190FL21ZT45590                 520.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190FL21ZT45640                 100.000 06122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190FL21ZT45640                 340.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190FL21ZT45710                  20.000 06122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190FL21ZT45710                  88.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190FL21ZT45720                  20.000 06122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190FL21ZT45720                 155.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190FL21ZT45800                  60.000 06122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
8190FL21ZT45800                 199.000 05122018                Registration of Production completion Slip results data(YMAK3070) went wrong.
