8190           8190ZS98370           FL918191FSTK000000050.000                    20190105MB1B                9P1    
8190           8190WZ91100           SX518190SX91000000005.000                    20190103MB1B                9I4    
8190           8190ZT43090           SX518190SX91000000001.000                    20190104MB1B                9I4    
8190           8190ZT43090           SX518190SX91000000005.000                    20190103MB1B                9I4    
8190           8190ZT43090           SX518190SX91000000004.000                    20190102MB1B                9I4    
8190           8190ZQ11650           SXA08190SX51000000030.000                    20190105MB1B                9I3    
8190           8190ZP90580           SXA08190SX51000000030.000                    20190105MB1B                9I3    
8190           8190ZP90580           SXA08190SX51000000030.000                    20190105MB1B                9I3    
8190           8190ZP90580           SXA08190SX51000000030.000                    20190105MB1B                9I3    
8190           8190ZP90580           SXA08190SX51000000030.000                    20190105MB1B                9I3    
8190           8190ZP90580           SXA08190SX51000000030.000                    20190105MB1B                9I3    
8190           8190ZP90580           SXA08190SX51000000030.000                    20190105MB1B                9I3    
8190           8190ZP90580           SXA08190SX51000000030.000                    20190105MB1B                9I3    
8190           8190ZP63900           SXA08190SX21000000030.000                    20190105MB1B                9I3    
8190           8190ZP63900           SXA08190SX21000000030.000                    20190105MB1B                9I3    
8190           8190ZP67280           SXA08190SX21000000030.000                    20190105MB1B                9I3    
8190           8190ZQ11650           SXA08190SX51000000030.000                    20190105MB1B                9I3    
8190           8190ZQ11650           SXA08190SX51000000030.000                    20190105MB1B                9I3    
8190           8190ZQ11650           SXA08190SX51000000030.000                    20190105MB1B                9I3    
8190           8190ZR48720           SXA08190SX21000000030.000                    20190105MB1B                9I3    
8190           8190ZR48720           SXA08190SX21000000030.000                    20190105MB1B                9I3    
8190           8190ZR48720           SXA08190SX21000000030.000                    20190105MB1B                9I3    
8190           8190ZR48720           SXA08190SX21000000030.000                    20190105MB1B                9I3    
8190           8190ZR48720           SXA08190SX21000000030.000                    20190105MB1B                9I3    
8190           8190ZP64330           SXA08190SX21000000016.000                    20190105MB1B                9I3    
8190           8190ZP68040           SXA08190SX21000000016.000                    20190105MB1B                9I3    
8190           8190ZP68040           SXA08190SX21000000016.000                    20190105MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20190105MB1B                9I3    
8190           8190ZQ11650           SXA08190SX51000000030.000                    20190105MB1B                9I3    
8190           8190ZQ11650           SXA08190SX51000000030.000                    20190105MB1B                9I3    
8190           8190ZQ11650           SXA08190SX51000000030.000                    20190105MB1B                9I3    
8190           8190ZQ11650           SXA08190SX51000000030.000                    20190105MB1B                9I3    
8190           8190ZQ11650           SXA08190SX51000000030.000                    20190105MB1B                9I3    
8190           8190ZP67280           SXA08190SX21000000030.000                    20190105MB1B                9I3    
8190           8190ZP67440           SXA08190SX21000000030.000                    20190105MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20190105MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20190105MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20190105MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20190105MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20190105MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20190105MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20190105MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20190105MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20190105MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20190105MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20190105MB1B                9I3    
8190           8190ZE22490           FLA28190FL21000000030.000                    20190105MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20190105MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20190105MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20190105MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20190105MB1B                9I3    
8190           8190ZP67440           SXA08190SX21000000030.000                    20190105MB1B                9I3    
8190           8190ZP67440           SXA08190SX21000000030.000                    20190105MB1B                9I3    
8190           8190ZP67440           SXA08190SX21000000030.000                    20190105MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20190105MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20190105MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20190105MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20190105MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20190105MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20190105MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20190105MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20190105MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20190105MB1B                9I3    
8190           8190ZR48720           SXA08190SX21000000030.000                    20190105MB1B                9I3    
8190           8190ZP67690           SXA08190SX21000000030.000                    20190105MB1B                9I3    
8190           8190ZP67720           SXA08190SX21000000030.000                    20190105MB1B                9I3    
8190           8190ZP67720           SXA08190SX21000000030.000                    20190105MB1B                9I3    
8190           8190ZP67720           SXA08190SX21000000030.000                    20190105MB1B                9I3    
8190           8190ZP67720           SXA08190SX21000000030.000                    20190105MB1B                9I3    
8190           8190ZP67720           SXA08190SX21000000030.000                    20190105MB1B                9I3    
8190           8190ZP67740           SXA08190SX21000000030.000                    20190105MB1B                9I3    
8190           8190ZP67740           SXA08190SX21000000030.000                    20190105MB1B                9I3    
8190           8190ZP67740           SXA08190SX21000000030.000                    20190105MB1B                9I3    
8190           8190ZP67740           SXA08190SX21000000030.000                    20190105MB1B                9I3    
8190           8190ZP67740           SXA08190SX21000000030.000                    20190105MB1B                9I3    
