8190           8190ZS98360           FL918191FSTK000000060.000                    20190402MB1B                9P1    
8190           8190ZQ89050           SX218190SX51000000015.000                    20190403MB1B                9I3    
8190           8190ZU02370           FL218190FL51000000005.000                    20190403MB1B                9I3    
8190           8190ZU22760           FL218190FL51000000005.000                    20190403MB1B                9I3    
8190           8190ZU22760           FL218190FL51000000005.000                    20190403MB1B                9I3    
8190           8190ZU11680           FL218190FL51000000005.000                    20190403MB1B                9I3    
8190           8190ZU11680           FL218190FL51000000005.000                    20190403MB1B                9I3    
8190           8190ZU11680           FL218190FL51000000005.000                    20190403MB1B                9I3    
8190           8190ZU11680           FL218190FL51000000005.000                    20190403MB1B                9I3    
8190           8190ZQ96340           SX218190SX51000000008.000                    20190403MB1B                9I3    
8190           8190ZT43210           SX218190SX51000000008.000                    20190403MB1B                9I3    
8190           8190ZQ98440           SX218190SX51000000008.000                    20190403MB1B                9I3    
8190           8190ZQ99790           SX218190SX51000000008.000                    20190403MB1B                9I3    
8190           8190ZQ95040           SX218190SX51000000008.000                    20190403MB1B                9I3    
8190           8190ZQ95040           SX218190SX51000000008.000                    20190403MB1B                9I3    
8190           8190ZQ96960           SX218190SX51000000008.000                    20190403MB1B                9I3    
8190           8190ZU02370           FL218190FL51000000005.000                    20190403MB1B                9I3    
8190           8190ZU24370           FL218190FL51000000005.000                    20190403MB1B                9I3    
8190           8190ZQ89050           SX218190SX51000000015.000                    20190403MB1B                9I3    
8190           8190ZQ89050           SX218190SX51000000015.000                    20190403MB1B                9I3    
8190           8190ZQ89050           SX218190SX51000000015.000                    20190403MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20190403MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20190403MB1B                9I3    
8190           8190ZQ86770           SX218190SX51000000015.000                    20190403MB1B                9I3    
8190           8190ZQ86770           SX218190SX51000000015.000                    20190403MB1B                9I3    
8190           8190ZU02430           FL218190FL51000000005.000                    20190403MB1B                9I3    
8190           8190ZU24320           FL218190FL51000000005.000                    20190403MB1B                9I3    
8190           8190ZU24320           FL218190FL51000000005.000                    20190403MB1B                9I3    
8190           8190ZU02430           FL218190FL51000000005.000                    20190403MB1B                9I3    
8190           8190ZU02430           FL218190FL51000000005.000                    20190403MB1B                9I3    
8190           8190ZU02430           FL218190FL51000000005.000                    20190403MB1B                9I3    
8190           8190ZU24370           FL218190FL51000000005.000                    20190403MB1B                9I3    
8190           8190ZQ91380           SX218190SX51000000015.000                    20190403MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20190403MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20190403MB1B                9I3    
8190           8190ZT45590           FL218190FL51000000020.000                    20190403MB1B                9I3    
8190           8190ZT45590           FL218190FL51000000020.000                    20190403MB1B                9I3    
8190           8190ZT45590           FL218190FL51000000020.000                    20190403MB1B                9I3    
8190           8190ZT44270           FL218190FL51000000020.000                    20190403MB1B                9I3    
8190           8190ZT44810           FL218190FL51000000020.000                    20190403MB1B                9I3    
8190           8190ZT44810           FL218190FL51000000020.000                    20190403MB1B                9I3    
8190           8190ZT44810           FL218190FL51000000020.000                    20190403MB1B                9I3    
8190           8190ZT44270           FL218190FL51000000020.000                    20190403MB1B                9I3    
8190           8190ZT44270           FL218190FL51000000020.000                    20190403MB1B                9I3    
8190           8190ZT44270           FL218190FL51000000020.000                    20190403MB1B                9I3    
8190           8190ZT43910           FL218190FL51000000020.000                    20190403MB1B                9I3    
8190           8190ZT43910           FL218190FL51000000020.000                    20190403MB1B                9I3    
8190           8190ZT44180           FL218190FL51000000020.000                    20190403MB1B                9I3    
8190           8190ZT44180           FL218190FL51000000020.000                    20190403MB1B                9I3    
8190           8190ZQ84650           SX218190SX51000000015.000                    20190403MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20190403MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20190403MB1B                9I3    
8190           8190ZQ83740           SX218190SX51000000015.000                    20190403MB1B                9I3    
8190           8190ZQ83740           SX218190SX51000000015.000                    20190403MB1B                9I3    
8190           8190ZQ83740           SX218190SX51000000015.000                    20190403MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20190403MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20190403MB1B                9I3    
8190           8190ZQ87420           SX218190SX51000000015.000                    20190403MB1B                9I3    
8190           8190ZQ83610           SX218190SX51000000015.000                    20190403MB1B                9I3    
8190           8190ZQ83610           SX218190SX51000000015.000                    20190403MB1B                9I3    
8190           8190ZQ83610           SX218190SX51000000015.000                    20190403MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20190403MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20190403MB1B                9I3    
8190           8190ZQ88320           SX218190SX51000000015.000                    20190403MB1B                9I3    
8190           8190ZS06090           SX218190SX51000000015.000                    20190403MB1B                9I3    
8190           8190ZS06040           SX218190SX51000000015.000                    20190403MB1B                9I3    
8190           8190ZT44880           FL218190FL51000000020.000                    20190403MB1B                9I3    
8190           8190ZS06260           SX218190SX51000000015.000                    20190330MB1B                9I3    
8190           8190ZQ88400           SX218190SX51000000015.000                    20190330MB1B                9I3    
8190           8190W60653A           SXA18190SX21000000005.000                    20190401MB1B                9I3    
8190           8190ZS06170           SX218190SX51000000015.000                    20190330MB1B                9I3    
8190           8190ZQ91320           SX218190SX51000000015.000                    20190330MB1B                9I3    
8190           8190ZQ83740           SX218190SX51000000015.000                    20190330MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20190330MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20190330MB1B                9I3    
8190           8190ZQ84860           SX218190SX51000000015.000                    20190330MB1B                9I3    
8190           8190ZQ84860           SX218190SX51000000015.000                    20190330MB1B                9I3    
8190           8190ZQ93360           SX218190SX51000000015.000                    20190330MB1B                9I3    
8190           8190ZQ86340           SX218190SX51000000015.000                    20190330MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20190330MB1B                9I3    
8190           8190ZQ88400           SX218190SX51000000015.000                    20190330MB1B                9I3    
8190           8190ZQ86770           SX218190SX51000000015.000                    20190330MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20190330MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20190330MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20190330MB1B                9I3    
8190           8190ZQ93710           SX218190SX51000000015.000                    20190330MB1B                9I3    
8190           8190ZQ93710           SX218190SX51000000015.000                    20190330MB1B                9I3    
8190           8190ZQ93230           SX218190SX51000000015.000                    20190330MB1B                9I3    
8190           8190ZQ93610           SX218190SX51000000015.000                    20190330MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20190330MB1B                9I3    
