8190           8190ZQ83740           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ83740           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ83740           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ83740           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ83740           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ89110           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ91320           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ84650           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ89110           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ84350           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ84350           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ89650           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ89530           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ90160           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ89380           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ88000           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ90320           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ89650           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ87600           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ89940           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ90390           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ90390           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ87840           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ87840           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ90390           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ89940           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ87600           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ88300           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ88300           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ98200           SX218190SX51000000008.000                    20171111MB1B                9I3    
8190           8190ZQ88300           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ98200           SX218190SX51000000008.000                    20171111MB1B                9I3    
8190           8190ZQ98200           SX218190SX51000000008.000                    20171111MB1B                9I3    
8190           8190ZQ87600           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ98200           SX218190SX51000000008.000                    20171111MB1B                9I3    
8190           8190ZQ90320           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ90320           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ90320           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ89380           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ89380           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ87840           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ87840           CL218190CL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ88520           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ86000           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ88520           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ84650           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20171111MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20171111MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20171111MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20171111MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20171111MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20171111MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20171111MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20171111MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20171111MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171111MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20171111MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171111MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171111MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171111MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171111MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171111MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171111MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171111MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171111MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ84650           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ84650           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ84650           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ86250           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ84650           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ87130           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ87130           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ87130           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ83930           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ84650           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ84650           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZT44730           FL218190FL51000000020.000                    20171111MB1B                9I3    
8190           8190ZT44730           FL218190FL51000000020.000                    20171111MB1B                9I3    
8190           8190ZT45720           FL218190FL51000000020.000                    20171111MB1B                9I3    
8190           8190ZT91470           FL218190FL51000000020.000                    20171111MB1B                9I3    
8190           8190ZT91380           FL218190FL51000000020.000                    20171111MB1B                9I3    
8190           8190ZT45920           FL218190FL51000000020.000                    20171111MB1B                9I3    
8190           8190ZT44270           FL218190FL51000000020.000                    20171111MB1B                9I3    
8190           8190ZU02550           FL218190FL51000000020.000                    20171111MB1B                9I3    
8190           8190ZT91380           FL218190FL51000000020.000                    20171111MB1B                9I3    
8190           8190ZT91380           FL218190FL51000000020.000                    20171111MB1B                9I3    
8190           8190ZT45450           FL218190FL51000000020.000                    20171111MB1B                9I3    
8190           8190ZT44880           FL218190FL51000000020.000                    20171111MB1B                9I3    
8190           8190ZT44880           FL218190FL51000000020.000                    20171111MB1B                9I3    
8190           8190ZT44880           FL218190FL51000000020.000                    20171111MB1B                9I3    
8190           8190ZT44880           FL218190FL51000000020.000                    20171111MB1B                9I3    
8190           8190ZT91380           FL218190FL51000000020.000                    20171111MB1B                9I3    
8190           8190ZT91380           FL218190FL51000000020.000                    20171111MB1B                9I3    
8190           8190ZU02550           FL218190FL51000000020.000                    20171111MB1B                9I3    
8190           8190ZQ83740           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ83740           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ88320           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ88320           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ84350           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ84350           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ84350           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ86110           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ86110           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ86540           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ86540           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ86540           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ86540           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ84350           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ87130           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ87130           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ87130           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ88400           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ89050           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ89050           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ89050           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ83930           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ83930           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ83930           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ86110           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ86110           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ88990           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ88990           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ83610           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ83610           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ84100           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ83610           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ84100           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ86250           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ84100           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ91320           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ91320           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ91320           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ89110           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ89110           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ86000           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ84650           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ84650           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ87420           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ87420           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ87420           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ87420           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ84650           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ84650           SX218190SX51000000015.000                    20171111MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20171111MB1B                9I3    
