8190CL21ZR23750                  33.000 03122017                No data for reduction.
8190CL51ZQ93420                  40.000 03122017                       40.000 is greater than available qty.
8190CL51ZU15760                  20.000 03122017                       20.000 is greater than available qty.
8190FLA0ZP64930                3360.000 03122017                     3360.000 is greater than available qty.
8190SX51W93632A                  16.000 03122017                       16.000 is greater than available qty.
8190SX51ZQ99410                   8.000 03122017                        8.000 is greater than available qty.
8190SX51ZR00010                  16.000 03122017                       16.000 is greater than available qty.
8190SX51ZR16890                  10.000 03122017                       10.000 is greater than available qty.
8190SXA0ZP67940                9000.000 03122017                     9000.000 is greater than available qty.
