8190           8190ZK13360           SX218190SX51000000001.000                    20180605MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZK13360 8190 SX21
8190           8190ZT43850           FL218190FA1R000000030.000                    20180606MB1B                9I4    Deficit of SL Unrestricted-use 6 PC : ZT43850 8190 FA1R
8190           8190ZT43850           FL218190FL51000000005.000                    20180606MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZT43850 8190 FL21
8190           8190ZT43850           FL218190FL51000000005.000                    20180606MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : ZT43850 8190 FL21
8190           8190ZA14790           SX518190SX91000000001.000                    20180606MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA14790 8190 SX51
8190           8190ZA14780           SX518190SX91000000001.000                    20180606MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA14780 8190 SX51
8190           8190ZA14780           SX518190SX91000000001.000                    20180606MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA14780 8190 SX51
8190           8190ZA14790           SX518190SX91000000001.000                    20180606MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA14790 8190 SX51
8190           8190ZA14790           SX518190SX91000000001.000                    20180606MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA14790 8190 SX51
8190           8190ZA14790           SX518190SX91000000001.000                    20180606MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA14790 8190 SX51
8190           8190ZA14790           SX518190SX91000000001.000                    20180606MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA14790 8190 SX51
8190           8190ZA14790           SX518190SX91000000001.000                    20180606MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA14790 8190 SX51
8190           8190ZA14790           SX518190SX91000000001.000                    20180606MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA14790 8190 SX51
8190           8190ZA14790           SX518190SX91000000001.000                    20180606MB1B                9I3    Deficit of SL Unrestricted-use 1 PC : ZA14790 8190 SX51
8190           8190WZ70070           SX218190SX51000000005.000                    20180606MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : WZ70070 8190 SX21
8190           8190WZ70070           SX218190SX51000000005.000                    20180606MB1B                9I3    Deficit of SL Unrestricted-use 5 PC : WZ70070 8190 SX21
8190           8190WF9812B           SX518190SX91000000015.000                    20180606MB1B                9I3    Deficit of SL Unrestricted-use 12 PC : WF9812B 8190 SX51
8190           8190WF9812B           SX518190SX91000000015.000                    20180606MB1B                9I3    Deficit of SL Unrestricted-use 12 PC : WF9812B 8190 SX51
8190           8190WF9812B           SX518190SX91000000015.000                    20180606MB1B                9I3    Deficit of SL Unrestricted-use 12 PC : WF9812B 8190 SX51
8190           8190WF9812B           SX518190SX91000000015.000                    20180606MB1B                9I3    Deficit of SL Unrestricted-use 12 PC : WF9812B 8190 SX51
