8190           8190ZP63440           SXA08190SX21000000030.000                    20181127MB1B                9I3    
8190           8190ZP63730           SXA08190SX21000000030.000                    20181127MB1B                9I3    
8190           8190ZP63730           SXA08190SX21000000030.000                    20181127MB1B                9I3    
8190           8190ZP63980           SXA08190SX21000000030.000                    20181127MB1B                9I3    
8190           8190ZP63980           SXA08190SX21000000030.000                    20181127MB1B                9I3    
8190           8190ZP63980           SXA08190SX21000000030.000                    20181127MB1B                9I3    
8190           8190ZP63770           SXA08190SX21000000030.000                    20181127MB1B                9I3    
8190           8190ZP63770           SXA08190SX21000000030.000                    20181127MB1B                9I3    
8190           8190ZP63760           SXA08190SX21000000030.000                    20181127MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181127MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181127MB1B                9I3    
8190           8190ZP63740           SXA08190SX21000000030.000                    20181127MB1B                9I3    
8190           8190ZP63740           SXA08190SX21000000030.000                    20181127MB1B                9I3    
8190           8190ZP63680           SXA08190SX21000000030.000                    20181127MB1B                9I3    
8190           8190ZP63680           SXA08190SX21000000030.000                    20181127MB1B                9I3    
8190           8190ZP63570           SXA08190SX21000000030.000                    20181127MB1B                9I3    
8190           8190ZP63570           SXA08190SX21000000030.000                    20181127MB1B                9I3    
8190           8190ZP63570           SXA08190SX21000000030.000                    20181127MB1B                9I3    
8190           8190ZP63610           SXA08190SX21000000030.000                    20181127MB1B                9I3    
8190           8190ZP63690           SXA08190SX21000000030.000                    20181127MB1B                9I3    
8190           8190ZP63720           SXA08190SX21000000030.000                    20181127MB1B                9I3    
8190           8190ZP63720           SXA08190SX21000000030.000                    20181127MB1B                9I3    
8190           8190ZP63720           SXA08190SX21000000030.000                    20181127MB1B                9I3    
8190           8190ZP64010           SXA08190SX21000000030.000                    20181127MB1B                9I3    
8190           8190ZP67190           SXA08190SX21000000030.000                    20181127MB1B                9I3    
8190           8190ZP61520           CLA08190CL21000000040.000                    20181127MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZP61570           CLA08190CL21000000040.000                    20181127MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZP61570           CLA08190CL21000000040.000                    20181127MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZP61580           CLA08190CL21000000040.000                    20181127MB1B                9I3    
8190           8190ZP61520           CLA08190CL21000000040.000                    20181127MB1B                9I3    
8190           8190ZP61510           CLA08190CL21000000040.000                    20181127MB1B                9I3    
8190           8190ZP61510           CLA08190CL21000000040.000                    20181127MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZP61550           CLA08190CL21000000040.000                    20181127MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZP61580           CLA08190CL21000000040.000                    20181127MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZP61620           CLA08190CL21000000020.000                    20181127MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZP61620           CLA08190CL21000000020.000                    20181127MB1B                9I3    
8190           8190ZP61850           CLA08190CL21000000040.000                    20181127MB1B                9I3    
8190           8190ZP61820           CLA08190CL21000000040.000                    20181127MB1B                9I3    
8190           8190ZP61800           CLA08190CL21000000040.000                    20181127MB1B                9I3    
8190           8190ZP61800           CLA08190CL21000000040.000                    20181127MB1B                9I3    
8190           8190ZP61890           CLA08190CL21000000040.000                    20181127MB1B                9I3    
8190           8190ZP61890           CLA08190CL21000000040.000                    20181127MB1B                9I3    
8190           8190ZP61890           CLA08190CL21000000040.000                    20181127MB1B                9I3    
8190           8190ZP61860           CLA08190CL21000000040.000                    20181127MB1B                9I3    
8190           8190ZP61860           CLA08190CL21000000040.000                    20181127MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZP61820           CLA08190CL21000000040.000                    20181127MB1B                9I3    
8190           8190ZP61620           CLA08190CL21000000020.000                    20181127MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20181127MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20181127MB1B                9I3    
