8190           8190ZQ94890           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ95120           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ95120           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ94890           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ94890           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ94890           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ85910           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ94970           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ94970           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ94970           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ94470           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ94890           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ94890           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ94890           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ95120           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ94710           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZG2964C           CL218190CL51000000180.000                    20180523MB1B                9I3    
8190           8190WF9525C           SX218190SX51000000001.000                    20180523MB1B                9I3    
8190           8190ZP61430           CLA08190CL21000000020.000                    20180523MB1B                9I3    
8190           8190ZP61430           CLA08190CL21000000020.000                    20180523MB1B                9I3    
8190           8190ZP61430           CLA08190CL21000000020.000                    20180523MB1B                9I3    
8190           8190ZP61430           CLA08190CL21000000020.000                    20180523MB1B                9I3    
8190           8190ZP62540           CLA08190CL21000000040.000                    20180523MB1B                9I3    
8190           8190ZW92230           CLA08190CL21000000040.000                    20180523MB1B                9I3    
8190           8190ZW92240           CLA08190CL21000000040.000                    20180523MB1B                9I3    
8190           8190WF9525C           SX218190SX51000000001.000                    20180523MB1B                9I3    
8190           8190WF9525C           SX218190SX51000000001.000                    20180523MB1B                9I3    
8190           8190ZG2966C           CL218190CL51000000180.000                    20180523MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20180523MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20180523MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20180523MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20180523MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20180523MB1B                9I3    
8190           8190WF9525C           SX218190SX51000000001.000                    20180523MB1B                9I3    
8190           8190WF9525C           SX218190SX51000000001.000                    20180523MB1B                9I3    
8190           8190ZW92250           CLA08190CL21000000040.000                    20180523MB1B                9I3    
8190           8190ZT97610           CLA08190CL21000000040.000                    20180523MB1B                9I3    
8190           8190ZT95940           CLA08190CL21000000040.000                    20180523MB1B                9I3    
8190           8190ZZ31860           VN918190CL91000000030.000                    20180523MB1B                9I3    
8190           8190ZZ31860           VN918190CL91000000030.000                    20180523MB1B                9I3    
8190           8190ZZ31860           VN918190CL91000000030.000                    20180523MB1B                9I3    
8190           8190ZG2420B           CLA28190CL51000000180.000                    20180523MB1B                9I3    
8190           8190ZG2420B           CLA28190CL51000000180.000                    20180523MB1B                9I3    
8190           8190ZG2421B           CLA28190CL51000000180.000                    20180523MB1B                9I3    
8190           8190ZG2421B           CLA28190CL51000000180.000                    20180523MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20180523MB1B                9I3    
8190           8190ZZ31860           VN918190CL91000000030.000                    20180523MB1B                9I3    
8190           8190ZZ31860           VN918190CL91000000030.000                    20180523MB1B                9I3    
8190           8190ZG2433B           CLA28190CL51000000180.000                    20180523MB1B                9I3    
8190           8190ZG2433B           CLA28190CL51000000180.000                    20180523MB1B                9I3    
8190           8190ZG2433B           CLA28190CL51000000180.000                    20180523MB1B                9I3    
8190           8190ZG2433B           CLA28190CL51000000180.000                    20180523MB1B                9I3    
8190           8190ZG2425B           CLA28190CL51000000180.000                    20180523MB1B                9I3    
8190           8190ZG2425B           CLA28190CL51000000180.000                    20180523MB1B                9I3    
8190           8190ZG2431B           CLA28190CL51000000180.000                    20180523MB1B                9I3    
8190           8190ZG2431B           CLA28190CL51000000180.000                    20180523MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20180523MB1B                9I3    
8190           8190ZG2966C           CL218190CL51000000180.000                    20180523MB1B                9I3    
8190           8190WZ91340           SX518190SX91000000001.000                    20180523MB1B                9I3    
8190           8190WK0603B           SX518190SX91000000010.000                    20180523MB1B                9I3    
8190           8190ZH50320           SX518190SX91000000001.000                    20180523MB1B                9I3    
8190           8190WZ91830           SX518190SX91000000001.000                    20180523MB1B                9I3    
8190           8190WZ92160           SX518190SX91000000001.000                    20180523MB1B                9I3    
8190           8190WZ92160           SX518190SX91000000001.000                    20180523MB1B                9I3    
8190           8190WZ91840           SX518190SX91000000001.000                    20180523MB1B                9I3    
8190           8190ZH50350           SX518190SX91000000001.000                    20180523MB1B                9I3    
8190           8190ZP67910           CLA08190CL51000000040.000                    20180523MB1B                9I3    
8190           8190ZC58750           SXA18190SX21000000005.000                    20180523MB1B                9I3    
8190           8190ZC58750           SXA18190SX21000000005.000                    20180523MB1B                9I3    
8190           8190ZC34590           SXA18190SX21000000005.000                    20180523MB1B                9I3    
8190           8190ZC34590           SXA18190SX21000000005.000                    20180523MB1B                9I3    
8190           8190ZC34590           SXA18190SX21000000005.000                    20180523MB1B                9I3    
8190           8190ZC34590           SXA18190SX21000000005.000                    20180523MB1B                9I3    
8190           8190ZC34590           SXA18190SX21000000005.000                    20180523MB1B                9I3    
8190           8190ZC34590           SXA18190SX21000000005.000                    20180523MB1B                9I3    
8190           8190ZC34590           SXA18190SX21000000005.000                    20180523MB1B                9I3    
8190           8190ZC34590           SXA18190SX21000000005.000                    20180523MB1B                9I3    
8190           8190ZP67910           CLA08190CL51000000040.000                    20180523MB1B                9I3    
8190           8190ZP67910           CLA08190CL51000000040.000                    20180523MB1B                9I3    
8190           8190ZP67910           CLA08190CL51000000040.000                    20180523MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20180523MB1B                9I3    
8190           8190ZC7783E           SX218190SX51000000001.000                    20180523MB1B                9I3    
8190           8190ZC7783E           SX218190SX51000000001.000                    20180523MB1B                9I3    
8190           8190ZC7783E           SX218190SX51000000001.000                    20180523MB1B                9I3    
8190           8190ZC7783E           SX218190SX51000000001.000                    20180523MB1B                9I3    
8190           8190ZC7783E           SX218190SX51000000001.000                    20180523MB1B                9I3    
8190           8190ZC7783E           SX218190SX51000000001.000                    20180523MB1B                9I3    
8190           8190ZC7783E           SX218190SX51000000001.000                    20180523MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20180523MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20180523MB1B                9I3    
8190           8190ZP67910           CLA08190CL51000000040.000                    20180523MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20180523MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20180523MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20180523MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20180523MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20180523MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20180523MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20180523MB1B                9I3    
8190           8190ZG2964C           CL218190CL51000000180.000                    20180523MB1B                9I3    
8190           8190ZP67700           FLA08190FLA1000000010.000                    20180523MB1B                9I3    
8190           8190ZP67730           FLA08190FLA1000000010.000                    20180523MB1B                9I3    
8190           8190ZP67730           FLA08190FLA1000000010.000                    20180523MB1B                9I3    
8190           8190ZP67730           FLA08190FLA1000000010.000                    20180523MB1B                9I3    
8190           8190ZP67730           FLA08190FLA1000000010.000                    20180523MB1B                9I3    
8190           8190ZP67730           FLA08190FLA1000000010.000                    20180523MB1B                9I3    
8190           8190ZP67730           FLA08190FLA1000000010.000                    20180523MB1B                9I3    
8190           8190ZP67730           FLA08190FLA1000000010.000                    20180523MB1B                9I3    
8190           8190ZP67650           FLA08190FLA1000000060.000                    20180523MB1B                9I3    
8190           8190ZP67730           FLA08190FLA1000000010.000                    20180523MB1B                9I3    
8190           8190ZP67730           FLA08190FLA1000000010.000                    20180523MB1B                9I3    
8190           8190ZP67730           FLA08190FLA1000000010.000                    20180523MB1B                9I3    
8190           8190ZP67700           FLA08190FLA1000000010.000                    20180523MB1B                9I3    
8190           8190ZP67700           FLA08190FLA1000000010.000                    20180523MB1B                9I3    
8190           8190ZP67700           FLA08190FLA1000000010.000                    20180523MB1B                9I3    
8190           8190ZP67700           FLA08190FLA1000000010.000                    20180523MB1B                9I3    
8190           8190ZP67700           FLA08190FLA1000000010.000                    20180523MB1B                9I3    
8190           8190ZP67700           FLA08190FLA1000000010.000                    20180523MB1B                9I3    
8190           8190ZP67700           FLA08190FLA1000000010.000                    20180523MB1B                9I3    
8190           8190ZP67700           FLA08190FLA1000000010.000                    20180523MB1B                9I3    
8190           8190ZP67650           FLA08190FLA1000000060.000                    20180523MB1B                9I3    
8190           8190ZP67650           FLA08190FLA1000000060.000                    20180523MB1B                9I3    
8190           8190WF9195A           CL518190CL91000000025.000                    20180523MB1B                9I3    
8190           8190ZU05690           FL518190FL91000000005.000                    20180523MB1B                9I3    
8190           8190ZU05690           FL518190FL91000000005.000                    20180523MB1B                9I3    
8190           8190ZU44090           FL518190FL91000000005.000                    20180523MB1B                9I3    
8190           8190ZU44090           FL518190FL91000000005.000                    20180523MB1B                9I3    
8190           8190ZU44090           FL518190FL91000000005.000                    20180523MB1B                9I3    
8190           8190ZU02230           FL518190FL91000000005.000                    20180523MB1B                9I3    
8190           8190ZU02230           FL518190FL91000000005.000                    20180523MB1B                9I3    
8190           8190WF9195A           CL518190CL91000000025.000                    20180523MB1B                9I3    
8190           8190WF9195A           CL518190CL91000000025.000                    20180523MB1B                9I3    
8190           8190WF9195A           CL518190CL91000000025.000                    20180523MB1B                9I3    
8190           8190ZP67650           FLA08190FLA1000000060.000                    20180523MB1B                9I3    
8190           8190ZP67650           FLA08190FLA1000000060.000                    20180523MB1B                9I3    
8190           8190ZP67660           FLA08190FLA1000000060.000                    20180523MB1B                9I3    
8190           8190ZP67660           FLA08190FLA1000000060.000                    20180523MB1B                9I3    
8190           8190ZP67660           FLA08190FLA1000000060.000                    20180523MB1B                9I3    
8190           8190ZP67660           FLA08190FLA1000000060.000                    20180523MB1B                9I3    
8190           8190ZP67660           FLA08190FLA1000000060.000                    20180523MB1B                9I3    
8190           8190WF9195A           CL518190CL91000000025.000                    20180523MB1B                9I3    
8190           8190ZU02230           FL518190FL91000000005.000                    20180523MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180523MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180523MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180523MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20180523MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20180523MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20180523MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20180523MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20180523MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20180523MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180523MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180523MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180523MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180523MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180523MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180523MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180523MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180523MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180523MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180523MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180523MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20180523MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20180523MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20180523MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20180523MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20180523MB1B                9I3    
8190           8190WF9302A           SX518190SX91000000030.000                    20180523MB1B                9I3    
8190           8190WF9302A           SX518190SX91000000030.000                    20180523MB1B                9I3    
8190           8190WF9302A           SX518190SX91000000030.000                    20180523MB1B                9I3    
8190           8190ZP67700           FLA08190FLA1000000010.000                    20180523MB1B                9I3    
8190           8190ZP67700           FLA08190FLA1000000010.000                    20180523MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20180523MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20180523MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20180523MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20180523MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20180523MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20180523MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20180523MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20180523MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20180523MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20180523MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20180523MB1B                9I3    
8190           8190ZP67700           FLA08190FLA1000000010.000                    20180523MB1B                9I3    
8190           8190ZU02230           FL518190FL91000000005.000                    20180523MB1B                9I3    
8190           8190WZ70060           SX218190SX91000000005.000                    20180523MB1B                9I3    
8190           8190ZQ94470           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ94470           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ94470           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ94470           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ94470           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ94470           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZQ94470           SX518190SX91000000015.000                    20180523MB1B                9I3    
8190           8190ZF2087A           SX518190SX91000000015.000                    20180523MB1B                9I3    
