8190           8190ZQ88220           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZS06260           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ83740           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ83740           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ83740           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ83740           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ86770           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ86770           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190WF9525C           SX218190SX51000000001.000                    20181103MB1B                9I3    
8190           8190ZT43210           SX218190SX51000000008.000                    20181031MB1B                9I3    
8190           8190ZK50340           SXA18190SX21000000005.000                    20181101MB1B                9I3    
8190           8190ZY51560           FLA08190FLA1000000010.000                    20181101MB1B                9I3    
8190           8190ZY51560           FLA08190FLA1000000010.000                    20181101MB1B                9I3    
8190           8190VAS0010           SX518190SX91000000030.000                    20181102MB1B                9I3    
8190           8190VAS0010           SX518190SX91000000030.000                    20181102MB1B                9I3    
8190           8190VAS0010           SX518190SX91000000030.000                    20181102MB1B                9I3    
8190           8190ZR01110           SX518190SX91000000008.000                    20181030MB1B                9I3    
8190           8190ZR01110           SX518190SX91000000008.000                    20181030MB1B                9I3    
8190           8190VAS0000           CL518190CL91000000010.000                    20181101MB1B                9I3    
8190           8190ZY51560           FLA08190FLA1000000010.000                    20181102MB1B                9I3    
8190           8190ZY51560           FLA08190FLA1000000010.000                    20181102MB1B                9I3    
8190           8190ZY51560           FLA08190FLA1000000010.000                    20181102MB1B                9I3    
8190           8190ZJ2998B           CL518190CLB9000000020.000                    20181031MB1B                9I3    
8190           8190ZR02120           SX518190SX91000000008.000                    20181030MB1B                9I3    
8190           8190ZR01500           SX518190SX91000000008.000                    20181031MB1B                9I3    
8190           8190WF9525C           SX218190SX51000000001.000                    20181103MB1B                9I3    
8190           8190WF9525C           SX218190SX51000000001.000                    20181103MB1B                9I3    
8190           8190WF9525C           SX218190SX51000000001.000                    20181103MB1B                9I3    
8190           8190WF9525C           SX218190SX51000000001.000                    20181103MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181103MB1B                9I3    
8190           8190ZR02120           SX518190SX91000000008.000                    20181103MB1B                9I3    
8190           8190ZR01500           SX518190SX91000000008.000                    20181103MB1B                9I3    
8190           8190ZQ98670           SX218190SX51000000008.000                    20181103MB1B                9I3    
8190           8190ZQ98670           SX218190SX51000000008.000                    20181103MB1B                9I3    
8190           8190ZK50340           SXA18190SX21000000005.000                    20181101MB1B                9I3    
8190           8190VAS1300           SX218190SX51000000030.000                    20181102MB1B                9I3    
8190           8190ZR02120           SX518190SX91000000008.000                    20181030MB1B                9I3    
8190           8190ZT43210           SX218190SX51000000008.000                    20181031MB1B                9I3    
8190           8190ZY51560           FLA08190FLA1000000010.000                    20181102MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20181103MB1B                9I3    
8190           8190ZQ89110           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ93360           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ93610           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ86770           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ84350           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ88520           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ93360           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ86340           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ84100           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ83930           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ93230           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ86340           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ88990           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ84860           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ89110           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20181103MB1B                9I3    
8190           8190ZQ88320           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ86250           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ88320           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ88320           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ88990           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ89050           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ88990           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ84350           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ86340           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ89050           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ88400           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ84860           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ83810           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ86000           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ86000           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ83610           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ83610           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ85100           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ88990           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ85100           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ93540           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ86640           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ84860           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ89050           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ88520           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ84100           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ87420           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ87420           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ91380           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ91380           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ86110           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ86770           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ86770           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ87130           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ91320           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ88520           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ88890           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZY51560           FLA08190FLA1000000010.000                    20181102MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ88890           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ88890           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ88400           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ86640           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ86640           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ87130           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ87420           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ85100           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ86110           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZJ2997B           CL518190CLB9000000020.000                    20181031MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ88990           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ88990           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ88990           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ86110           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ84350           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ85100           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ85100           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ86540           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ86250           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ93710           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181103MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181103MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181103MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181103MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181103MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181103MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181103MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181103MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181103MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20181103MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20181103MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20181103MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181103MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181103MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181103MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ88400           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190ZQ88400           SX218190SX51000000015.000                    20181103MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181103MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181103MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181103MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181103MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181103MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181103MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181103MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181103MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181103MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20181103MB1B                9I3    
