8190           8190ZP67190           SXA08190SX21000000030.000                    20180606MB1B                9I3    
8190           8190ZP66880           SXA08190SX21000000030.000                    20180606MB1B                9I3    
8190           8190ZP66880           SXA08190SX21000000030.000                    20180606MB1B                9I3    
8190           8190ZP66880           SXA08190SX21000000030.000                    20180606MB1B                9I3    
8190           8190ZP66880           SXA08190SX21000000030.000                    20180606MB1B                9I3    
8190           8190ZP64010           SXA08190SX21000000030.000                    20180606MB1B                9I3    
8190           8190ZP66880           SXA08190SX21000000030.000                    20180606MB1B                9I3    
8190           8190ZP66880           SXA08190SX21000000030.000                    20180606MB1B                9I3    
8190           8190ZP67560           SXA08190SX21000000016.000                    20180606MB1B                9I3    
8190           8190ZF36860           SXA28190SX21000000020.000                    20180606MB1B                9I3    
8190           8190ZF36860           SXA28190SX21000000020.000                    20180606MB1B                9I3    
8190           8190ZF37080           SXA28190SX21000000020.000                    20180606MB1B                9I3    
8190           8190ZF37080           SXA28190SX21000000020.000                    20180606MB1B                9I3    
8190           8190ZF37080           SXA28190SX21000000020.000                    20180606MB1B                9I3    
8190           8190ZF37110           SXA28190SX21000000020.000                    20180606MB1B                9I3    
8190           8190ZF37110           SXA28190SX21000000020.000                    20180606MB1B                9I3    
8190           8190ZF37110           SXA28190SX21000000020.000                    20180606MB1B                9I3    
8190           8190ZF37110           SXA28190SX21000000020.000                    20180606MB1B                9I3    
8190           8190ZF37360           SXA28190SX21000000020.000                    20180606MB1B                9I3    
8190           8190ZF37360           SXA28190SX21000000020.000                    20180606MB1B                9I3    
8190           8190ZF37360           SXA28190SX21000000020.000                    20180606MB1B                9I3    
8190           8190ZF37360           SXA28190SX21000000020.000                    20180606MB1B                9I3    
8190           8190ZF37160           SXA28190SX21000000020.000                    20180606MB1B                9I3    
8190           8190ZF37080           SXA28190SX21000000020.000                    20180606MB1B                9I3    
8190           8190ZF37070           SXA28190SX21000000020.000                    20180606MB1B                9I3    
8190           8190ZF37070           SXA28190SX21000000020.000                    20180606MB1B                9I3    
8190           8190ZF36860           SXA28190SX21000000020.000                    20180606MB1B                9I3    
8190           8190ZF36860           SXA28190SX21000000020.000                    20180606MB1B                9I3    
8190           8190ZF36870           SXA28190SX21000000020.000                    20180606MB1B                9I3    
8190           8190ZF36870           SXA28190SX21000000020.000                    20180606MB1B                9I3    
8190           8190ZF36870           SXA28190SX21000000020.000                    20180606MB1B                9I3    
8190           8190ZF36870           SXA28190SX21000000020.000                    20180606MB1B                9I3    
8190           8190ZF36880           SXA28190SX21000000020.000                    20180606MB1B                9I3    
8190           8190ZF36880           SXA28190SX21000000020.000                    20180606MB1B                9I3    
