8190           8190ZP63650           FLA08190FL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP63650           FLA08190FL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP63650           FLA08190FL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP63780           FLA08190FL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP63630           FLA08190FL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP64510           FLA08190FL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP63820           FLA08190FL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP63820           FLA08190FL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP63820           FLA08190FL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP64140           FLA08190FL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP64140           FLA08190FL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP64140           FLA08190FL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP63890           FLA08190FL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP63890           FLA08190FL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP64500           FLA08190FL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP64500           FLA08190FL21000000040.000                    20180707MB1B                9I3    
8190           8190ZP63780           FLA08190FL21000000040.000                    20180707MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZQ95770           SX218190SX51000000008.000                    20180707MB1B                9I3    
8190           8190ZQ99850           SX218190SX51000000008.000                    20180707MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZQ96450           SX218190SX51000000008.000                    20180707MB1B                9I3    
8190           8190ZQ98440           SX218190SX51000000008.000                    20180707MB1B                9I3    
8190           8190ZQ97030           SX218190SX51000000008.000                    20180707MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZQ98870           SX218190SX51000000008.000                    20180707MB1B                9I3    
8190           8190ZQ98870           SX218190SX51000000008.000                    20180707MB1B                9I3    
8190           8190ZQ98670           SX218190SX51000000008.000                    20180707MB1B                9I3    
8190           8190ZQ98550           SX218190SX51000000008.000                    20180707MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZQ99100           SX218190SX51000000008.000                    20180707MB1B                9I3    
8190           8190ZQ95770           SX218190SX51000000008.000                    20180707MB1B                9I3    
8190           8190ZQ98110           SX218190SX51000000008.000                    20180707MB1B                9I3    
8190           8190ZQ95040           SX218190SX51000000008.000                    20180707MB1B                9I3    
8190           8190ZQ95040           SX218190SX51000000008.000                    20180707MB1B                9I3    
8190           8190ZQ99850           SX218190SX51000000008.000                    20180707MB1B                9I3    
8190           8190ZQ98200           SX218190SX51000000008.000                    20180707MB1B                9I3    
8190           8190ZQ99190           SX218190SX51000000008.000                    20180707MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZQ99790           SX218190SX51000000008.000                    20180707MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZQ98870           SX218190SX51000000008.000                    20180707MB1B                9I3    
8190           8190ZE22570           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22560           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22560           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZU02430           FL218190FL51000000005.000                    20180707MB1B                9I3    
8190           8190ZE22630           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22630           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22630           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22630           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22630           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22630           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22510           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZU02430           FL218190FL51000000005.000                    20180707MB1B                9I3    
8190           8190ZE22560           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22570           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180707MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180707MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180707MB1B                9I3    
