8190           8190ZP63140           FLA08190FL21000000120.000                    20180827MB1B                9I3    
8190           8190ZP62640           FLA08190FL21000000600.000                    20180827MB1B                9I3    
8190           8190ZP66610           SXA08190SX21000000060.000                    20180827MB1B                9I3    
8190           8190ZP66610           SXA08190SX21000000060.000                    20180827MB1B                9I3    
8190           8190ZP64470           SXA08190SX21000000024.000                    20180827MB1B                9I3    
8190           8190ZP64470           SXA08190SX21000000024.000                    20180827MB1B                9I3    
8190           8190ZP66260           SXA08190SX21000000028.000                    20180827MB1B                9I3    
8190           8190ZP62630           FLA08190FL21000000300.000                    20180827MB1B                9I3    
8190           8190ZP62850           SXA08190SX21000000030.000                    20180827MB1B                9I3    
8190           8190ZP62850           SXA08190SX21000000030.000                    20180827MB1B                9I3    
8190           8190ZP63810           SXA08190SX21000000030.000                    20180827MB1B                9I3    
8190           8190ZP62850           SXA08190SX21000000030.000                    20180827MB1B                9I3    
8190           8190ZP62850           SXA08190SX21000000030.000                    20180827MB1B                9I3    
8190           8190ZP62830           SXA08190SX21000000030.000                    20180827MB1B                9I3    
8190           8190ZP62730           SXA08190SX21000000030.000                    20180827MB1B                9I3    
8190           8190ZU49310           FLA08190FL21000000300.000                    20180827MB1B                9I3    
8190           8190ZP62650           FLA08190FL21000000300.000                    20180827MB1B                9I3    
8190           8190ZP62630           FLA08190FL21000000300.000                    20180827MB1B                9I3    
8190           8190ZP66690           SXA08190SX21000000060.000                    20180827MB1B                9I3    
8190           8190ZP66690           SXA08190SX21000000060.000                    20180827MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20180827MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20180827MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20180827MB1B                9I3    
8190           8190ZP66470           SXA08190SX21000000028.000                    20180827MB1B                9I3    
8190           8190ZP66470           SXA08190SX21000000028.000                    20180827MB1B                9I3    
8190           8190ZP66470           SXA08190SX21000000028.000                    20180827MB1B                9I3    
8190           8190ZP66470           SXA08190SX21000000028.000                    20180827MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20180827MB1B                9I3    
8190           8190ZP66470           SXA08190SX21000000028.000                    20180827MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20180827MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20180827MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20180827MB1B                9I3    
8190           8190ZP66690           SXA08190SX21000000060.000                    20180827MB1B                9I3    
8190           8190ZP66690           SXA08190SX21000000060.000                    20180827MB1B                9I3    
8190           8190ZP66690           SXA08190SX21000000060.000                    20180827MB1B                9I3    
8190           8190ZP66690           SXA08190SX21000000060.000                    20180827MB1B                9I3    
8190           8190ZP66690           SXA08190SX21000000060.000                    20180827MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20180827MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20180827MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20180827MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20180827MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20180827MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180827MB1B                9I3    
8190           8190ZE22560           FLA28190FL21000000030.000                    20180827MB1B                9I3    
8190           8190ZP64140           FLA08190FL21000000040.000                    20180827MB1B                9I3    
8190           8190ZS06260           SX218190SX51000000015.000                    20180827MB1B                9I3    
8190           8190ZS06260           SX218190SX51000000015.000                    20180827MB1B                9I3    
8190           8190ZQ88890           SX218190SX51000000015.000                    20180827MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180827MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180827MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180827MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180827MB1B                9I3    
8190           8190ZQ95100           SX518190SX91000000015.000                    20180827MB1B                9I3    
