8190           8190ZP63030           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP62990           FLA08190FL21000000500.000                    20190226MB1B                9I3    
8190           8190ZP62990           FLA08190FL21000000500.000                    20190226MB1B                9I3    
8190           8190ZP62990           FLA08190FL21000000500.000                    20190226MB1B                9I3    
8190           8190ZP62880           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP62880           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP62880           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP62860           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP62860           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP63180           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP63380           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP63380           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP63500           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP63490           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP63490           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP63470           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP63470           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP63430           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP63430           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP63420           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP63420           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP63380           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP62860           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP90580           SXA08190SX51000000030.000                    20190226MB1B                9I3    
8190           8190ZP64140           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP63890           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP63890           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP63890           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP63890           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP64140           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP64140           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP64140           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP64140           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP63780           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP63780           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP63650           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP63650           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP63650           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP63710           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP90580           SXA08190SX51000000030.000                    20190226MB1B                9I3    
8190           8190ZP64140           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP63780           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP63780           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP63780           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP63780           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP62670           FLA08190FL21000000100.000                    20190226MB1B                9I3    
8190           8190ZP62670           FLA08190FL21000000100.000                    20190226MB1B                9I3    
8190           8190ZP62670           FLA08190FL21000000100.000                    20190226MB1B                9I3    
8190           8190ZP67940           SXA08190CL21000000030.000                    20190226MB1B                9I3    
8190           8190ZP67940           SXA08190SX21000000030.000                    20190226MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP67940           SXA08190SX21000000030.000                    20190226MB1B                9I3    
8190           8190ZP67940           SXA08190SX21000000030.000                    20190226MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP67940           SXA08190SX21000000030.000                    20190226MB1B                9I3    
8190           8190ZP62670           FLA08190FL21000000100.000                    20190226MB1B                9I3    
8190           8190ZP62670           FLA08190FL21000000100.000                    20190226MB1B                9I3    
8190           8190ZP62670           FLA08190FL21000000100.000                    20190226MB1B                9I3    
8190           8190ZP63670           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP63670           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP63670           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP63630           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP63630           FLA08190FL21000000040.000                    20190226MB1B                9I3    
8190           8190ZP63630           FLA08190FL21000000040.000                    20190226MB1B                9I3    
