8190           8190ZC34590           SXA18190SX21000000005.000                    20171117MB1B                9I3    
8190           8190ZC34590           SXA18190SX21000000005.000                    20171117MB1B                9I3    
8190           8190ZC34590           SXA18190SX21000000005.000                    20171117MB1B                9I3    
8190           8190ZC34590           SXA18190SX21000000005.000                    20171117MB1B                9I3    
8190           8190ZC34590           SXA18190SX21000000005.000                    20171117MB1B                9I3    
8190           8190ZY85860           SX218190SX51000000010.000                    20171117MB1B                9I3    
8190           8190ZT45920           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZT45860           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZT45920           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZT44880           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20171117MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20171117MB1B                9I3    
8190           8190ZT43910           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZT45980           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZT45070           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZU03250           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZU03150           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZU02770           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZT91470           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZT45800           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZU03250           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZT44810           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZT44810           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZT44810           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZT45710           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZT45590           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZT45070           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZT45590           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZT45070           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZT44730           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZU03090           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZT45980           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZU02550           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZT45590           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZT91470           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZU03210           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZT43910           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZT45170           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZT45920           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZT43910           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZT45170           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZT45170           FL218190FL51000000020.000                    20171117MB1B                9I3    
8190           8190ZQ84350           SX218190SX51000000015.000                    20171117MB1B                9I3    
8190           8190ZQ98980           SX518190SX91000000008.000                    20171117MB1B                9I3    
8190           8190ZC7633D           SX218190SX51000000001.000                    20171117MB1B                9I3    
8190           8190ZC7633D           SX218190SX51000000001.000                    20171117MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20171117MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20171117MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20171117MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20171117MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20171117MB1B                9I3    
8190           8190ZC7633D           SX218190SX51000000001.000                    20171117MB1B                9I3    
8190           8190ZQ88000           CL218190CL51000000020.000                    20171117MB1B                9I3    
8190           8190ZR45000           CL218190CL51000000020.000                    20171117MB1B                9I3    
