8190           8190ZQ88090           CL218190CL51000000020.000                    20180710MB1B                9I3    
8190           8190ZQ87890           CL218190CL51000000020.000                    20180710MB1B                9I3    
8190           8190ZP63120           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63120           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZQ91970           CL218190CL51000000020.000                    20180710MB1B                9I3    
8190           8190ZP63120           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZQ87890           CL218190CL51000000020.000                    20180710MB1B                9I3    
8190           8190ZQ87600           CL218190CL51000000020.000                    20180710MB1B                9I3    
8190           8190ZP63210           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZQ87840           CL218190CL51000000020.000                    20180710MB1B                9I3    
8190           8190ZQ91970           CL218190CL51000000020.000                    20180710MB1B                9I3    
8190           8190ZP63410           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63410           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZQ90390           CL218190CL51000000020.000                    20180710MB1B                9I3    
8190           8190ZP63060           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZQ89650           CL218190CL51000000020.000                    20180710MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZQ87840           CL218190CL51000000020.000                    20180710MB1B                9I3    
8190           8190ZQ87840           CL218190CL51000000020.000                    20180710MB1B                9I3    
8190           8190ZP62580           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZQ87840           CL218190CL51000000020.000                    20180710MB1B                9I3    
8190           8190ZP62580           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP62580           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZQ87600           CL218190CL51000000020.000                    20180710MB1B                9I3    
8190           8190ZQ87600           CL218190CL51000000020.000                    20180710MB1B                9I3    
8190           8190ZQ90390           CL218190CL51000000020.000                    20180710MB1B                9I3    
8190           8190ZP63060           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZQ90320           CL218190CL51000000020.000                    20180710MB1B                9I3    
8190           8190ZP63620           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZE22490           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZE22490           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZE22490           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZE22490           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZE22490           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZE22490           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZP65030           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP65030           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZE22500           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZP63540           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZE22500           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZP63540           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZE22500           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZP63160           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63160           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63640           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63640           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63640           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63640           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP64800           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP64910           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP64910           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZP63160           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63160           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63160           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63540           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZE22640           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZP61940           CLA08190CL21000000100.000                    20180710MB1B                9I3    
8190           8190ZP63600           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63600           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63600           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63600           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63600           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63600           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63600           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63600           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63600           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZY85610           SXA08190SX21000000010.000                    20180710MB1B                9I3    
8190           8190ZY84770           SXA08190SX21000000030.000                    20180710MB1B                9I3    
8190           8190ZY84770           SXA08190SX21000000030.000                    20180710MB1B                9I3    
8190           8190ZP62900           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63600           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63600           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP61920           CLA08190CL21000000100.000                    20180710MB1B                9I3    
8190           8190ZP61920           CLA08190CL21000000100.000                    20180710MB1B                9I3    
8190           8190ZP61960           CLA08190CL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP61960           CLA08190CL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP61590           CLA08190CL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP61590           CLA08190CL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP61420           CLA08190CL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP61420           CLA08190CL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP61420           CLA08190CL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP61420           CLA08190CL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP61610           CLA08190CL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP61610           CLA08190CL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63600           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP62900           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP64140           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63670           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63670           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63780           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63780           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63710           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63710           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63710           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63670           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63650           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63890           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63890           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63890           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63890           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP64140           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP64140           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63050           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP64140           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP64140           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP64140           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63650           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63650           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63650           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP61940           CLA08190CL21000000100.000                    20180710MB1B                9I3    
8190           8190ZE22640           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZP61610           CLA08190CL21000000040.000                    20180710MB1B                9I3    
8190           8190ZE22600           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZE22600           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZE22600           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZE22600           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZP62180           CLA08190CL21000000040.000                    20180710MB1B                9I3    
8190           8190ZE22600           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZP62170           CLA08190CL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP62560           CLA08190CL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP62560           CLA08190CL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP62560           CLA08190CL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP62560           CLA08190CL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP62130           CLA08190CL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP61610           CLA08190CL21000000040.000                    20180710MB1B                9I3    
8190           8190ZE22610           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZE22640           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZP63190           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63190           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63190           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63050           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63050           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63050           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP63050           FLA08190FL21000000040.000                    20180710MB1B                9I3    
8190           8190ZE22630           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZE22630           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZE22630           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZE22610           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZE22610           FLA28190FL21000000030.000                    20180710MB1B                9I3    
8190           8190ZP62130           CLA08190CL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP62110           CLA08190CL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP61990           CLA08190CL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP61990           CLA08190CL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP61980           CLA08190CL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP61970           CLA08190CL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP61950           CLA08190CL21000000100.000                    20180710MB1B                9I3    
8190           8190ZP61950           CLA08190CL21000000100.000                    20180710MB1B                9I3    
8190           8190ZP61950           CLA08190CL21000000100.000                    20180710MB1B                9I3    
8190           8190ZP61950           CLA08190CL21000000100.000                    20180710MB1B                9I3    
8190           8190ZP61950           CLA08190CL21000000100.000                    20180710MB1B                9I3    
8190           8190ZP61950           CLA08190CL21000000100.000                    20180710MB1B                9I3    
8190           8190ZP61950           CLA08190CL21000000100.000                    20180710MB1B                9I3    
8190           8190ZP61950           CLA08190CL21000000100.000                    20180710MB1B                9I3    
8190           8190ZP61950           CLA08190CL21000000100.000                    20180710MB1B                9I3    
8190           8190ZP62010           CLA08190CL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP62010           CLA08190CL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP62070           CLA08190CL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP62070           CLA08190CL21000000040.000                    20180710MB1B                9I3    
8190           8190ZP62030           CLA08190CL21000000040.000                    20180710MB1B                9I3    
