8190           8190ZP64880           FLA08190FL21000000040.000                    20181117MB1B                9I3    
8190           8190ZP64520           FLA08190FL21000000040.000                    20181117MB1B                9I3    
8190           8190ZP64520           FLA08190FL21000000040.000                    20181117MB1B                9I3    
8190           8190ZE20750           FLA18190FL21000000010.000                    20181117MB1B                9I3    
8190           8190ZE20750           FLA18190FL21000000010.000                    20181117MB1B                9I3    
8190           8190ZE20750           FLA18190FL21000000010.000                    20181117MB1B                9I3    
8190           8190ZE20750           FLA18190FL21000000010.000                    20181117MB1B                9I3    
8190           8190ZE20750           FLA18190FL21000000010.000                    20181117MB1B                9I3    
8190           8190ZE20750           FLA18190FL21000000010.000                    20181117MB1B                9I3    
8190           8190ZE20750           FLA18190FL21000000010.000                    20181117MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181117MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181117MB1B                9I3    
8190           8190ZP67030           SXA08190SX21000000030.000                    20181116MB1B                9I3    
8190           8190ZP67030           SXA08190SX21000000030.000                    20181116MB1B                9I3    
8190           8190ZP67940           SXA08190SX21000000030.000                    20181116MB1B                9I3    
8190           8190ZP67940           SXA08190SX21000000030.000                    20181116MB1B                9I3    
8190           8190ZP67940           SXA08190SX21000000030.000                    20181116MB1B                9I3    
8190           8190ZP67940           SXA08190SX21000000030.000                    20181116MB1B                9I3    
8190           8190ZP67940           SXA08190SX21000000030.000                    20181116MB1B                9I3    
8190           8190ZP67940           SXA08190VN21000000030.000                    20181117MB1B                9I3    
8190           8190ZP67940           SXA08190SX21000000030.000                    20181117MB1B                9I3    
8190           8190ZP67940           SXA08190SX21000000030.000                    20181117MB1B                9I3    
8190           8190ZP67940           SXA08190SX21000000030.000                    20181117MB1B                9I3    
8190           8190ZP67940           SXA08190SX21000000030.000                    20181117MB1B                9I3    
8190           8190WY75740           CL218190CL51000000020.000                    20181117MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20181117MB1B                9I3    
8190           8190ZE20750           FLA18190FL21000000010.000                    20181117MB1B                9I3    
