8190           8190ZP63890           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP63670           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP63670           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP63650           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP63630           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP63080           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP63020           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP64140           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZQ84100           SX218190SX51000000015.000                    20180521MB1B                9I3    
8190           8190ZS06040           SX218190SX51000000015.000                    20180521MB1B                9I3    
8190           8190ZQ93360           SX218190SX51000000015.000                    20180521MB1B                9I3    
8190           8190ZQ86340           SX218190SX51000000015.000                    20180521MB1B                9I3    
8190           8190ZU49290           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZE20540           FLA18190FL21000000010.000                    20180521MB1B                9I3    
8190           8190ZE20540           FLA18190FL21000000010.000                    20180521MB1B                9I3    
8190           8190ZP61760           CLA08190CL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP61760           CLA08190CL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP64140           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP64140           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP63020           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP63190           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP63190           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZK50360           SXA18190SX21000000005.000                    20180521MB1B                9I3    
8190           8190ZP63620           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP63620           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP63620           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP63670           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP63620           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP63890           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP63820           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP63820           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP63800           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP63800           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180521MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180521MB1B                9I3    
