8190           8190ZG2427B           CLA28190CL51000000180.000                    20171204MB1B                9I3    
8190           8190ZQ89090           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZG2427B           CLA28190CL51000000180.000                    20171204MB1B                9I3    
8190           8190ZQ86520           SX518190SX91000000015.000                    20171204MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20171204MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171204MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171204MB1B                9I3    
8190           8190ZP67910           CLA08190CL51000000040.000                    20171204MB1B                9I3    
8190           8190ZP67910           CLA08190CL51000000040.000                    20171204MB1B                9I3    
8190           8190ZP67910           CLA08190CL51000000040.000                    20171204MB1B                9I3    
8190           8190ZP67910           CLA08190CL51000000040.000                    20171204MB1B                9I3    
8190           8190ZP67910           CLA08190CL51000000040.000                    20171204MB1B                9I3    
8190           8190ZR16910           SX518190SX91000000010.000                    20171204MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171204MB1B                9I3    
8190           8190WF9195A           CL518190CL91000000080.000                    20171204MB1B                9I3    
8190           8190ZT45450           FL218190FL51000000020.000                    20171204MB1B                9I3    
8190           8190ZT43980           FL518190FL91000000005.000                    20171204MB1B                9I3    
8190           8190ZQ13360           FL518190FL91000000050.000                    20171204MB1B                9I3    
8190           8190ZQ13360           FL518190FL91000000050.000                    20171204MB1B                9I3    
8190           8190ZT43910           FL218190FL51000000020.000                    20171204MB1B                9I3    
8190           8190ZT43910           FL218190FL51000000020.000                    20171204MB1B                9I3    
8190           8190ZT45980           FL218190FL51000000020.000                    20171204MB1B                9I3    
8190           8190ZT45980           FL218190FL51000000020.000                    20171204MB1B                9I3    
8190           8190ZT45450           FL218190FL51000000020.000                    20171204MB1B                9I3    
8190           8190ZR16910           SX518190SX91000000010.000                    20171204MB1B                9I3    
8190           8190ZQ89650           CL218190CL51000000020.000                    20171204MB1B                9I3    
8190           8190ZA52440           SX518190SX91000000001.000                    20171204MB1B                9I3    
8190           8190ZA52440           SX518190SX91000000001.000                    20171204MB1B                9I3    
8190           8190ZA52440           SX518190SX91000000001.000                    20171204MB1B                9I3    
8190           8190ZA52440           SX518190SX91000000001.000                    20171204MB1B                9I3    
8190           8190ZA52440           SX518190SX91000000001.000                    20171204MB1B                9I3    
