8190           8190ZF36890           SXA28190SX21000000020.000                    20171114MB1B                9I3    
8190           8190ZF36890           SXA28190SX21000000020.000                    20171114MB1B                9I3    
8190           8190ZF36890           SXA28190SX21000000020.000                    20171114MB1B                9I3    
8190           8190ZF36890           SXA28190SX21000000020.000                    20171114MB1B                9I3    
8190           8190ZF37430           SXA28190SX21000000020.000                    20171114MB1B                9I3    
8190           8190ZF37430           SXA28190SX21000000020.000                    20171114MB1B                9I3    
8190           8190ZQ98930           SX218190SX51000000008.000                    20171114MB1B                9I3    
8190           8190ZU24080           FLA18190FL51000000005.000                    20171114MB1B                9I3    
8190           8190ZU24080           FLA18190FL51000000005.000                    20171114MB1B                9I3    
8190           8190ZU24080           FLA18190FL51000000005.000                    20171114MB1B                9I3    
8190           8190ZU24080           FLA18190FL51000000005.000                    20171114MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171114MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171114MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171114MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171114MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171114MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171114MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171114MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171114MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171114MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171114MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171114MB1B                9I3    
8190           8190ZT44810           FL218190FL51000000020.000                    20171114MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171114MB1B                9I3    
8190           8190ZU03150           FL218190FL51000000020.000                    20171114MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171114MB1B                9I3    
8190           8190ZT45170           FL218190FL51000000020.000                    20171114MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171114MB1B                9I3    
8190           8190ZU03210           FL218190FL51000000020.000                    20171114MB1B                9I3    
8190           8190ZU02600           FL218190FL51000000020.000                    20171114MB1B                9I3    
8190           8190ZT44660           FL218190FL51000000020.000                    20171114MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171114MB1B                9I3    
8190           8190ZT91470           FL218190FL51000000020.000                    20171114MB1B                9I3    
8190           8190ZT45590           FL218190FL51000000020.000                    20171114MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171114MB1B                9I3    
8190           8190ZT45980           FL218190FL51000000020.000                    20171114MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171114MB1B                9I3    
8190           8190ZT45260           FL218190FL51000000020.000                    20171114MB1B                9I3    
8190           8190ZT45920           FL218190FL51000000020.000                    20171114MB1B                9I3    
8190           8190ZT45070           FL218190FL51000000020.000                    20171114MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171114MB1B                9I3    
8190           8190ZT45170           FL218190FL51000000020.000                    20171114MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171114MB1B                9I3    
8190           8190ZU02650           FL218190FL51000000020.000                    20171114MB1B                9I3    
8190           8190ZT45590           FL218190FL51000000020.000                    20171114MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171114MB1B                9I3    
8190           8190ZT45860           FL218190FL51000000020.000                    20171114MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171114MB1B                9I3    
8190           8190ZT45980           FL218190FL51000000020.000                    20171114MB1B                9I3    
8190           8190ZT45800           FL218190FL51000000020.000                    20171114MB1B                9I3    
8190           8190ZT44180           FL218190FL51000000020.000                    20171114MB1B                9I3    
8190           8190ZT44880           FL218190FL51000000020.000                    20171114MB1B                9I3    
8190           8190ZT44020           FLA18190FL51000000005.000                    20171114MB1B                9I3    
8190           8190ZT45070           FL218190FL51000000020.000                    20171114MB1B                9I3    
8190           8190ZT45170           FL218190FL51000000020.000                    20171114MB1B                9I3    
