8190           8190ZP63260           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP63260           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190VAS1220           SX218190SX51000000030.000                    20181108MB1B                9I3    
8190           8190VAS1220           SX218190SX51000000030.000                    20181108MB1B                9I3    
8190           8190VAS1220           SX218190SX51000000030.000                    20181108MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181108MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181108MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181108MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181108MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181108MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181108MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181108MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181108MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181108MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181108MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181108MB1B                9I3    
8190           8190ZQ87760           CL218190CL51000000020.000                    20181108MB1B                9I3    
8190           8190VAS1220           SX218190SX51000000030.000                    20181108MB1B                9I3    
8190           8190VAS1220           SX218190SX51000000030.000                    20181108MB1B                9I3    
8190           8190VAS1220           SX218190SX51000000030.000                    20181108MB1B                9I3    
8190           8190VAS1220           SX218190SX51000000030.000                    20181108MB1B                9I3    
8190           8190ZQ87760           CL218190CL51000000020.000                    20181108MB1B                9I3    
8190           8190ZQ90040           CL218190CL51000000020.000                    20181108MB1B                9I3    
8190           8190ZQ90040           CL218190CL51000000020.000                    20181108MB1B                9I3    
8190           8190ZQ90040           CL218190CL51000000020.000                    20181108MB1B                9I3    
8190           8190ZQ90160           CL218190CL51000000020.000                    20181108MB1B                9I3    
8190           8190ZQ87660           CL218190CL51000000020.000                    20181108MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20181108MB1B                9I3    
8190           8190ZP67440           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP67670           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP67430           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP67430           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP67400           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP67400           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP67400           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP67350           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP67330           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP67330           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP67330           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP67300           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP67450           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP67450           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP67450           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP67670           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP67670           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP67620           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP67590           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP67550           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP67550           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP67500           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP67470           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP67470           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP67470           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP66240           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP66240           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP66240           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP62730           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP62730           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZE08440           SXA18190SX21000000001.000                    20181108MB1B                9I3    
8190           8190ZE08440           SXA18190SX21000000001.000                    20181108MB1B                9I3    
8190           8190ZE08440           SXA18190SX21000000001.000                    20181108MB1B                9I3    
8190           8190ZQ86110           SX218190SX51000000015.000                    20181108MB1B                9I3    
8190           8190ZQ86250           SX218190SX51000000015.000                    20181108MB1B                9I3    
8190           8190ZQ84100           SX218190SX51000000015.000                    20181108MB1B                9I3    
8190           8190ZQ91320           SX218190SX51000000015.000                    20181108MB1B                9I3    
8190           8190ZQ91320           SX218190SX51000000015.000                    20181108MB1B                9I3    
8190           8190ZP62760           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP62760           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP62760           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP66230           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP66020           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP64160           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP63830           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP63510           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP63510           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP62850           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP62850           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP62850           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP62830           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZQ84490           SX218190SX51000000015.000                    20181108MB1B                9I3    
8190           8190ZP67690           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP67440           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP64360           SXA08190SX21000000016.000                    20181108MB1B                9I3    
8190           8190ZP64360           SXA08190SX21000000016.000                    20181108MB1B                9I3    
8190           8190ZP64340           SXA08190SX21000000016.000                    20181108MB1B                9I3    
8190           8190ZP64310           SXA08190SX21000000016.000                    20181108MB1B                9I3    
8190           8190ZQ11650           SXA08190SX51000000030.000                    20181108MB1B                9I3    
8190           8190ZQ11650           SXA08190SX51000000030.000                    20181108MB1B                9I3    
8190           8190ZQ11650           SXA08190SX51000000030.000                    20181108MB1B                9I3    
8190           8190ZR48720           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZR48720           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZR48720           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP64380           SXA08190SX21000000016.000                    20181108MB1B                9I3    
8190           8190ZP64380           SXA08190SX21000000016.000                    20181108MB1B                9I3    
8190           8190ZP65120           SXA08190SX21000000016.000                    20181108MB1B                9I3    
8190           8190ZP67280           SXA08190SX21000000030.000                    20181108MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20181108MB1B                9I3    
8190           8190ZP65230           SXA08190SX21000000016.000                    20181108MB1B                9I3    
8190           8190ZP65200           SXA08190SX21000000016.000                    20181108MB1B                9I3    
8190           8190ZP65200           SXA08190SX21000000016.000                    20181108MB1B                9I3    
8190           8190ZP65200           SXA08190SX21000000016.000                    20181108MB1B                9I3    
8190           8190ZP65180           SXA08190SX21000000016.000                    20181108MB1B                9I3    
8190           8190ZP65170           SXA08190SX21000000016.000                    20181108MB1B                9I3    
8190           8190ZP65160           SXA08190SX21000000016.000                    20181108MB1B                9I3    
