8190           8190ZU66170           FLA08190FLA1000000010.000                    20181107MB1B                9I3    
8190           8190ZT45710           FL218190FL51000000020.000                    20181107MB1B                9I3    
8190           8190ZT45710           FL218190FL51000000020.000                    20181107MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20181107MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20181107MB1B                9I3    
8190           8190WQ4674E           SX218190SX51000000005.000                    20181107MB1B                9I3    
8190           8190ZP63980           SXA08190SX21000000030.000                    20181107MB1B                9I3    
8190           8190W53542A           CLA08190CL21000000040.000                    20181107MB1B                9I3    
8190           8190ZY51560           FLA08190FLA1000000010.000                    20181105MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181106MB1B                9I3    
8190           8190ZK50340           SXA18190SX21000000005.000                    20181101MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181106MB1B                9I3    
8190           8190ZY51560           FLA08190FLA1000000010.000                    20181105MB1B                9I3    
8190           8190ZR01110           SX518190SX91000000008.000                    20181101MB1B                9I3    
8190           8190ZR01110           SX518190SX91000000008.000                    20181101MB1B                9I3    
8190           8190ZR01500           SX518190SX91000000008.000                    20181101MB1B                9I3    
8190           8190ZY51560           FLA08190FLA1000000010.000                    20181105MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181106MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181106MB1B                9I3    
8190           8190ZR01500           SX518190SX91000000008.000                    20181107MB1B                9I3    
8190           8190VAS1300           SX218190SX51000000030.000                    20181102MB1B                9I3    
8190           8190VAS1300           SX218190SX51000000030.000                    20181105MB1B                9I3    
8190           8190ZK50340           SXA18190SX21000000005.000                    20181101MB1B                9I3    
8190           8190ZP63750           FLA08190FL51000000040.000                    20181101MB1B                9I3    
8190           8190ZY51560           FLA08190FLA1000000010.000                    20181102MB1B                9I3    
8190           8190ZY51560           FLA08190FLA1000000010.000                    20181107MB1B                9I3    
8190           8190ZY51560           FLA08190FLA1000000010.000                    20181107MB1B                9I3    
8190           8190VAS0010           SX518190SX91000000030.000                    20181107MB1B                9I3    
8190           8190ZY51560           FLA08190FLA1000000010.000                    20181102MB1B                9I3    
8190           8190ZY51560           FLA08190FLA1000000010.000                    20181102MB1B                9I3    
8190           8190ZR01110           SX518190SX91000000008.000                    20181107MB1B                9I3    
8190           8190ZR01500           SX518190SX91000000008.000                    20181107MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181106MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181106MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181106MB1B                9I3    
8190           8190ZR01110           SX518190SX91000000008.000                    20181101MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181106MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181106MB1B                9I3    
8190           8190ZR01110           SX518190SX91000000008.000                    20181107MB1B                9I3    
8190           8190ZR02120           SX518190SX91000000008.000                    20181107MB1B                9I3    
8190           8190ZY51560           FLA08190FLA1000000010.000                    20181105MB1B                9I3    
8190           8190ZR01110           SX518190SX91000000008.000                    20181101MB1B                9I3    
8190           8190ZK50340           SXA18190SX21000000005.000                    20181106MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181106MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181106MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181106MB1B                9I3    
8190           8190ZK50340           SXA18190SX21000000005.000                    20181107MB1B                9I3    
8190           8190ZK50340           SXA18190SX21000000005.000                    20181107MB1B                9I3    
8190           8190VAR9940           SX518190SX91000000030.000                    20181107MB1B                9I3    
8190           8190ZK50340           SXA18190SX21000000005.000                    20181106MB1B                9I3    
8190           8190ZP63630           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP62690           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP62690           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP62690           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZK50340           SXA18190SX21000000005.000                    20181106MB1B                9I3    
8190           8190ZR02120           SX518190SX91000000008.000                    20181101MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181106MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20181106MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP63630           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP63630           FLA08190FL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP67370           SXA08190SX21000000030.000                    20181107MB1B                9I3    
8190           8190ZP67370           SXA08190SX21000000030.000                    20181107MB1B                9I3    
8190           8190ZP90580           SXA08190SX51000000030.000                    20181107MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20181107MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20181107MB1B                9I3    
8190           8190ZK50340           SXA18190SX21000000005.000                    20181101MB1B                9I3    
8190           8190ZY51560           FLA08190FLA1000000010.000                    20181101MB1B                9I3    
8190           8190VAS1300           SX218190SX51000000030.000                    20181105MB1B                9I3    
8190           8190ZY51560           FLA08190FLA1000000010.000                    20181101MB1B                9I3    
8190           8190VAS1300           SX218190SX51000000030.000                    20181105MB1B                9I3    
8190           8190VAS1300           SX218190SX51000000030.000                    20181105MB1B                9I3    
8190           8190ZK50340           SXA18190SX21000000005.000                    20181106MB1B                9I3    
