8190           8190ZQ88520           SX218190SX51000000015.000                    20171218MB1B                9I3    
8190           8190ZQ84650           SX218190SX51000000015.000                    20171218MB1B                9I3    
8190           8190ZQ98440           SX218190SX51000000008.000                    20171218MB1B                9I3    
8190           8190ZQ98440           SX218190SX51000000008.000                    20171218MB1B                9I3    
8190           8190ZQ94750           SX218190SX51000000008.000                    20171218MB1B                9I3    
8190           8190ZQ98550           SX218190SX51000000008.000                    20171218MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190ZJ19280           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171218MB1B                9I3    
8190           8190ZQ88890           SX218190SX51000000015.000                    20171218MB1B                9I3    
8190           8190ZP90570           FLA08190FL51000000040.000                    20171218MB1B                9I3    
8190           8190ZP63030           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP63030           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP62880           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP62880           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP62860           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP62860           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP62860           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP62840           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP62840           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP62820           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP62820           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP63420           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP63420           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP90570           FLA08190FL51000000040.000                    20171218MB1B                9I3    
8190           8190ZP64880           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP64860           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP64250           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP63750           FLA08190FL51000000040.000                    20171218MB1B                9I3    
8190           8190ZP63500           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP63490           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP63490           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP63470           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP63430           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP63430           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP62820           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP62820           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP62710           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP62710           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP62710           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP62710           FLA08190FL21000000040.000                    20171218MB1B                9I3    
8190           8190ZP62710           FLA08190FL21000000040.000                    20171218MB1B                9I3    
