8190           8190ZP67630           FLA08190FL21000000040.000                    20180609MB1B                9I3    
8190           8190ZQ87660           CL218190CL51000000020.000                    20180609MB1B                9I3    
8190           8190ZP67630           FLA08190FL21000000040.000                    20180609MB1B                9I3    
8190           8190ZQ87660           CL218190CL51000000020.000                    20180609MB1B                9I3    
8190           8190ZQ87600           CL218190CL51000000020.000                    20180609MB1B                9I3    
8190           8190ZP67680           FLA08190FL21000000040.000                    20180609MB1B                9I3    
8190           8190ZQ87380           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZP67680           FLA08190FL21000000040.000                    20180609MB1B                9I3    
8190           8190WZ9110C           SX218190SX51000000001.000                    20180609MB1B                9I3    
8190           8190WZ9110C           SX218190SX51000000001.000                    20180609MB1B                9I3    
8190           8190ZA1494C           SX218190SX51000000001.000                    20180609MB1B                9I3    
8190           8190ZA1494C           SX218190SX51000000001.000                    20180609MB1B                9I3    
8190           8190ZA1494C           SX218190SX51000000001.000                    20180609MB1B                9I3    
8190           8190WZ9183C           SX218190SX51000000001.000                    20180609MB1B                9I3    
8190           8190WZ9216C           SX218190SX51000000001.000                    20180609MB1B                9I3    
8190           8190WZ91830           SX518190SX91000000001.000                    20180609MB1B                9I3    
8190           8190ZQ87380           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190WZ91830           SX518190SX91000000001.000                    20180609MB1B                9I3    
8190           8190WZ9110C           SX218190SX51000000001.000                    20180609MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180609MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180609MB1B                9I3    
8190           8190ZP67680           FLA08190FL21000000040.000                    20180609MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180609MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180609MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180609MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180609MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180609MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180609MB1B                9I3    
8190           8190W934730           SXT98190SX91000000100.000                    20180609MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180609MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20180609MB1B                9I3    
8190           8190WZ91830           SX518190SX91000000001.000                    20180609MB1B                9I3    
8190           8190ZQ85050           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20180609MB1B                9I3    
8190           8190ZG24260           CL518190CLB9000000180.000                    20180609MB1B                9I3    
8190           8190ZG25220           CL518190CLB9000000180.000                    20180609MB1B                9I3    
8190           8190ZG25230           CL518190CLB9000000180.000                    20180609MB1B                9I3    
8190           8190ZG25230           CL518190CLB9000000180.000                    20180609MB1B                9I3    
8190           8190ZG25250           CL518190CLB9000000180.000                    20180609MB1B                9I3    
8190           8190WF9302D           SX218190SX51000000030.000                    20180609MB1B                9I3    
8190           8190ZG25240           CL518190CLB9000000180.000                    20180609MB1B                9I3    
8190           8190WF9302D           SX218190SX51000000030.000                    20180609MB1B                9I3    
8190           8190ZG25240           CL518190CLB9000000180.000                    20180609MB1B                9I3    
8190           8190WF9302D           SX218190SX51000000030.000                    20180609MB1B                9I3    
8190           8190ZG24270           CL518190CLB9000000180.000                    20180609MB1B                9I3    
8190           8190ZG24270           CL518190CLB9000000180.000                    20180609MB1B                9I3    
8190           8190ZG24280           CL518190CLB9000000180.000                    20180609MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20180609MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20180609MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20180609MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20180609MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20180609MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20180609MB1B                9I3    
8190           8190ZP66210           SXA08190SX21000000030.000                    20180609MB1B                9I3    
8190           8190ZP66210           SXA08190SX21000000030.000                    20180609MB1B                9I3    
8190           8190ZG24290           CL518190CLB9000000180.000                    20180609MB1B                9I3    
8190           8190ZG24290           CL518190CLB9000000180.000                    20180609MB1B                9I3    
8190           8190ZG25210           CL518190CLB9000000180.000                    20180609MB1B                9I3    
8190           8190WF9302D           SX218190SX51000000030.000                    20180609MB1B                9I3    
8190           8190ZG24230           CL518190CLB9000000180.000                    20180609MB1B                9I3    
8190           8190WY91390           SXA18190SX21000000005.000                    20180609MB1B                9I3    
8190           8190WY75740           CL218190CL51000000020.000                    20180609MB1B                9I3    
8190           8190WY91390           SXA18190SX21000000005.000                    20180609MB1B                9I3    
8190           8190WY75740           CL218190CL51000000020.000                    20180609MB1B                9I3    
8190           8190ZG24250           CL518190CLB9000000180.000                    20180609MB1B                9I3    
8190           8190ZG24210           CL518190CLB9000000180.000                    20180609MB1B                9I3    
8190           8190WY75770           CL218190CL51000000020.000                    20180609MB1B                9I3    
8190           8190ZG2966A           CL518190CLB9000000180.000                    20180609MB1B                9I3    
8190           8190WY75770           CL218190CL51000000020.000                    20180609MB1B                9I3    
8190           8190ZG2966A           CL518190CLB9000000180.000                    20180609MB1B                9I3    
8190           8190ZG24250           CL518190CLB9000000180.000                    20180609MB1B                9I3    
8190           8190WY75740           CL218190CL51000000020.000                    20180609MB1B                9I3    
8190           8190WY91390           SXA18190SX21000000005.000                    20180609MB1B                9I3    
8190           8190WY91390           SXA18190SX21000000005.000                    20180609MB1B                9I3    
8190           8190ZG24460           CL518190CLB9000000180.000                    20180609MB1B                9I3    
8190           8190WY91390           SXA18190SX21000000005.000                    20180609MB1B                9I3    
8190           8190ZG24240           CL518190CLB9000000180.000                    20180609MB1B                9I3    
8190           8190WY75770           CL218190CL51000000020.000                    20180609MB1B                9I3    
8190           8190ZG24410           CL518190CLB9000000180.000                    20180609MB1B                9I3    
8190           8190WY91390           SXA18190SX21000000005.000                    20180609MB1B                9I3    
8190           8190WY75740           CL218190CL51000000020.000                    20180609MB1B                9I3    
8190           8190ZG24330           CL518190CLB9000000180.000                    20180609MB1B                9I3    
8190           8190ZG24310           CL518190CLB9000000180.000                    20180609MB1B                9I3    
8190           8190WY75260           SXA18190SX21000000005.000                    20180609MB1B                9I3    
8190           8190ZP67260           SXA08190SX21000000100.000                    20180609MB1B                9I3    
8190           8190ZQ86320           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ84070           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ84070           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ84310           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ84310           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ84310           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ84310           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ88380           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ88380           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ84470           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ84470           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ84070           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ89210           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ89210           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ86320           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ86320           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ83910           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ83910           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ83910           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ83910           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ83790           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ83790           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ89210           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZQ89210           SX518190SX91000000015.000                    20180609MB1B                9I3    
8190           8190ZP67080           SXA08190VN91000000090.000                    20180609MB1B                9I3    
8190           8190ZP67080           SXA08190VN91000000090.000                    20180609MB1B                9I3    
8190           8190ZP67080           SXA08190VN91000000090.000                    20180609MB1B                9I3    
8190           8190ZU02980           FLA18190FL51000000005.000                    20180609MB1B                9I3    
8190           8190ZU02980           FLA18190FL51000000005.000                    20180609MB1B                9I3    
8190           8190ZU02270           FLA18190FL51000000005.000                    20180609MB1B                9I3    
8190           8190ZU02270           FLA18190FL51000000005.000                    20180609MB1B                9I3    
8190           8190ZU02270           FLA18190FL51000000005.000                    20180609MB1B                9I3    
8190           8190ZU02270           FLA18190FL51000000005.000                    20180609MB1B                9I3    
8190           8190ZU02270           FLA18190FL51000000005.000                    20180609MB1B                9I3    
8190           8190ZU02270           FLA18190FL51000000005.000                    20180609MB1B                9I3    
