8190           8190ZP61840           CLA08190CL21000000040.000                    20180919MB1B                9I3    
8190           8190ZP61850           CLA08190CL21000000040.000                    20180919MB1B                9I3    
8190           8190ZP61830           CLA08190CL21000000040.000                    20180919MB1B                9I3    
8190           8190ZP61820           CLA08190CL21000000040.000                    20180919MB1B                9I3    
8190           8190ZP61820           CLA08190CL21000000040.000                    20180919MB1B                9I3    
8190           8190ZP61740           CLA08190CL21000000040.000                    20180919MB1B                9I3    
8190           8190ZP61890           CLA08190CL21000000040.000                    20180919MB1B                9I3    
8190           8190ZP61890           CLA08190CL21000000040.000                    20180919MB1B                9I3    
8190           8190ZP61890           CLA08190CL21000000040.000                    20180919MB1B                9I3    
8190           8190ZP63390           SXA08190SX21000000030.000                    20180919MB1B                9I3    
8190           8190ZP64070           SXA08190SX21000000030.000                    20180919MB1B                9I3    
8190           8190ZQ95180           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ95280           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZC58580           SXA18190SX21000000005.000                    20180919MB1B                9I3    
8190           8190ZQ95280           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ95350           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ95350           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ95350           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZC58580           SXA18190SX21000000005.000                    20180919MB1B                9I3    
8190           8190ZQ94440           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ94440           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ95280           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ95280           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ94710           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZR10660           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZR10660           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZR10660           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZR10660           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ95320           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ95320           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ95320           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ95320           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ94440           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ94930           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZC58580           SXA18190SX21000000005.000                    20180919MB1B                9I3    
8190           8190ZQ95240           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ95240           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ95240           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ95240           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ95210           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ95210           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ95210           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ94420           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ94420           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ95240           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ95240           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZR10720           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ95660           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ95660           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ95660           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ94950           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ94950           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ94950           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ94930           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ94930           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZQ94420           SX518190SX91000000015.000                    20180919MB1B                9I3    
8190           8190ZP64070           SXA08190SX21000000030.000                    20180919MB1B                9I3    
8190           8190ZP66460           SXA08190SX21000000016.000                    20180919MB1B                9I3    
8190           8190ZP66410           SXA08190SX21000000016.000                    20180919MB1B                9I3    
8190           8190ZP67540           SXA08190SX21000000016.000                    20180919MB1B                9I3    
8190           8190ZP67540           SXA08190SX21000000016.000                    20180919MB1B                9I3    
8190           8190ZP64850           SXA08190SX21000000016.000                    20180919MB1B                9I3    
8190           8190ZP65050           SXA08190SX21000000016.000                    20180919MB1B                9I3    
8190           8190ZP64870           SXA08190SX21000000016.000                    20180919MB1B                9I3    
8190           8190ZP64870           SXA08190SX21000000016.000                    20180919MB1B                9I3    
8190           8190ZP67190           SXA08190SX21000000030.000                    20180919MB1B                9I3    
8190           8190ZP66460           SXA08190SX21000000016.000                    20180919MB1B                9I3    
8190           8190ZP66620           SXA08190SX21000000016.000                    20180919MB1B                9I3    
8190           8190ZP64070           SXA08190SX21000000030.000                    20180919MB1B                9I3    
8190           8190ZP67160           SXA08190SX21000000030.000                    20180919MB1B                9I3    
8190           8190ZP66880           SXA08190SX21000000030.000                    20180919MB1B                9I3    
