8190           8190ZP63270           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP63270           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22600           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22600           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZP63250           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP63230           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP63090           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZP67710           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP67670           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP67640           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP67640           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP67640           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22500           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22500           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22500           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22500           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZP67620           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22500           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZP67670           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP67710           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP67710           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZE22550           FLA28190FL21000000030.000                    20180707MB1B                9I3    
8190           8190ZP67690           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP67690           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP67690           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP67690           SXA08190SX21000000030.000                    20180707MB1B                9I3    
8190           8190ZP67670           SXA08190SX21000000030.000                    20180707MB1B                9I3    
