8190           8190ZQ86690           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ93230           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ93230           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ93230           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ86770           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ86770           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ86770           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZS06260           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZS06260           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZS06040           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZS06040           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZS06090           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZS06090           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ86250           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ86250           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ86110           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ86110           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ86000           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ86000           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190ZQ88320           SX218190SX51000000015.000                    20181212MB1B                9I3    
8190           8190W93546B           SX518190SX91000000005.000                    20181212MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20181212MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20181212MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20181212MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20181212MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20181212MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20181212MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20181212MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20181212MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20181212MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20181212MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20181212MB1B                9I3    
8190           8190VAR9970           CL518190CL91000000030.000                    20181212MB1B                9I3    
8190           8190ZA5245C           SX218190SX51000000001.000                    20181212MB1B                9I3    
8190           8190VAR9970           CL518190CL91000000030.000                    20181212MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181212MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20181212MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20181212MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20181212MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20181212MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181212MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181212MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20181212MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181212MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181212MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181212MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20181212MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181212MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181212MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181212MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181212MB1B                9I3    
8190           8190VAR9970           CL518190CL91000000030.000                    20181212MB1B                9I3    
8190           8190W52871A           CLB98190CL91000000010.000                    20181212MB1B                9I3    
8190           8190ZC34590           SXA18190SX21000000005.000                    20181212MB1B                9I3    
8190           8190ZQ87860           CL518190CL91000000020.000                    20181212MB1B                9I3    
8190           8190ZQ87860           CL518190CL91000000020.000                    20181212MB1B                9I3    
8190           8190ZQ89800           CL518190CL91000000020.000                    20181212MB1B                9I3    
8190           8190ZQ89800           CL518190CL91000000020.000                    20181212MB1B                9I3    
8190           8190ZQ91920           CL518190CL91000000020.000                    20181212MB1B                9I3    
8190           8190ZQ91920           CL518190CL91000000020.000                    20181212MB1B                9I3    
8190           8190ZQ90360           CL518190CL91000000020.000                    20181212MB1B                9I3    
8190           8190ZQ90360           CL518190CL91000000020.000                    20181212MB1B                9I3    
8190           8190ZQ89700           CL518190CL91000000020.000                    20181212MB1B                9I3    
8190           8190ZQ89700           CL518190CL91000000020.000                    20181212MB1B                9I3    
8190           8190ZQ89610           CL518190CL91000000020.000                    20181212MB1B                9I3    
8190           8190ZQ89610           CL518190CL91000000020.000                    20181212MB1B                9I3    
8190           8190ZQ87570           CL518190CL91000000020.000                    20181212MB1B                9I3    
8190           8190ZQ91680           CL518190CL91000000020.000                    20181212MB1B                9I3    
8190           8190ZQ88060           CL518190CL91000000020.000                    20181212MB1B                9I3    
