8190           8190ZP65210           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP66840           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP66840           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP66860           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP66860           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP66860           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP66890           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP66890           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP65020           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP66800           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP67290           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP67290           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP67140           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP65170           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP65160           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP65160           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZR23210           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZR48720           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZR48720           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZR48720           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZR48720           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP64310           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP64330           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP64330           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP64360           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP64380           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP64380           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP64390           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP64390           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP64390           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP65100           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP65120           SXA08190SX21000000016.000                    20180911MB1B                9I3    
8190           8190ZP63870           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP63870           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZP63850           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZU24320           FL218190FL51000000005.000                    20180911MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180911MB1B                9I3    
8190           8190ZP63790           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180911MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180911MB1B                9I3    
8190           8190ZP63740           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180911MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180911MB1B                9I3    
8190           8190ZP63740           SXA08190SX21000000030.000                    20180911MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180911MB1B                9I3    
