8190           8190ZF37070           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF36870           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF36870           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF36870           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF36880           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF36880           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF36880           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF36880           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF36880           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37070           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37070           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37070           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37360           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37360           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37250           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37250           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37260           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37260           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37260           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37260           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37260           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37270           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37270           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37270           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37270           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37250           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37250           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37170           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37360           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37360           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37160           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37160           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37160           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37160           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37160           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37170           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37170           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37170           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37170           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZF37270           SXA28190SX21000000020.000                    20181105MB1B                9I3    
8190           8190ZP66470           SXA08190SX21000000028.000                    20181105MB1B                9I3    
8190           8190ZP66530           SXA08190SX21000000050.000                    20181105MB1B                9I3    
8190           8190ZH4953C           SX218190SX51000000001.000                    20181105MB1B                9I3    
8190           8190ZH4953C           SX218190SX51000000001.000                    20181105MB1B                9I3    
8190           8190WF9525C           SX218190SX51000000001.000                    20181105MB1B                9I3    
8190           8190WF9525C           SX218190SX51000000001.000                    20181105MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181105MB1B                9I3    
8190           8190ZE20750           FLA18190FL21000000010.000                    20181105MB1B                9I3    
8190           8190ZE20750           FLA18190FL21000000010.000                    20181105MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181105MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20181105MB1B                9I3    
8190           8190ZP66530           SXA08190SX21000000050.000                    20181105MB1B                9I3    
8190           8190ZP66530           SXA08190SX21000000050.000                    20181105MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20181105MB1B                9I3    
8190           8190ZP66470           SXA08190SX21000000028.000                    20181105MB1B                9I3    
8190           8190ZP66470           SXA08190SX21000000028.000                    20181105MB1B                9I3    
8190           8190ZP66470           SXA08190SX21000000028.000                    20181105MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20181105MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20181105MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20181105MB1B                9I3    
8190           8190ZP66280           SXA08190SX21000000028.000                    20181105MB1B                9I3    
