8190           8190ZP67050           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP67420           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP67420           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP67050           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP67050           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP67030           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP67030           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP67030           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP66970           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP66970           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP64630           SXA08190SX21000000016.000                    20190402MB1B                9I3    
8190           8190ZP64630           SXA08190SX21000000016.000                    20190402MB1B                9I3    
8190           8190ZP64620           SXA08190SX21000000016.000                    20190402MB1B                9I3    
8190           8190ZP64570           SXA08190SX21000000016.000                    20190402MB1B                9I3    
8190           8190ZP66970           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP64570           SXA08190SX21000000016.000                    20190402MB1B                9I3    
8190           8190ZP63380           FLA08190FL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP67030           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP67420           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP67050           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP67050           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP63990           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP63990           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP63660           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP63660           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP63660           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP63660           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP63660           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP63660           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP63660           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP67460           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP63990           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP63990           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP63990           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP63100           FLA08190FL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP67390           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP67070           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP67050           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP67050           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP63030           FLA08190FL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP63030           FLA08190FL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP67030           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP67030           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP63990           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP67460           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP62890           SXA08190SX21000000030.000                    20190402MB1B                9I3    
8190           8190ZP62710           FLA08190FL21000000040.000                    20190402MB1B                9I3    
8190           8190ZE22570           FLA28190FL21000000030.000                    20190402MB1B                9I3    
8190           8190ZE22570           FLA28190FL21000000030.000                    20190402MB1B                9I3    
8190           8190ZE22570           FLA28190FL21000000030.000                    20190402MB1B                9I3    
8190           8190ZP62710           FLA08190FL21000000040.000                    20190402MB1B                9I3    
8190           8190ZE22630           FLA28190FL21000000030.000                    20190402MB1B                9I3    
8190           8190ZE22630           FLA28190FL21000000030.000                    20190402MB1B                9I3    
8190           8190ZE22610           FLA28190FL21000000030.000                    20190402MB1B                9I3    
8190           8190ZE22610           FLA28190FL21000000030.000                    20190402MB1B                9I3    
8190           8190ZE22600           FLA28190FL21000000030.000                    20190402MB1B                9I3    
8190           8190ZP62710           FLA08190FL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP62720           FLA08190FL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP62720           FLA08190FL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP62810           FLA08190FL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP62790           FLA08190FL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP62790           FLA08190FL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP62790           FLA08190FL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP62790           FLA08190FL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP62770           FLA08190FL21000000040.000                    20190402MB1B                9I3    
8190           8190ZP62770           FLA08190FL21000000040.000                    20190402MB1B                9I3    
