8190           8190ZP67460           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP66740           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP66740           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP66740           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP64190           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP63990           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP63990           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP63990           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP63990           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP63660           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP67460           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP67460           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP65010           SXA08190SX21000000016.000                    20180113MB1B                9I3    
8190           8190ZP63510           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP62850           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP62760           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP62760           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP62760           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP62730           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP62730           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP62730           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP62730           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP65010           SXA08190SX21000000016.000                    20180113MB1B                9I3    
8190           8190ZP63660           SXA08190SX21000000030.000                    20180113MB1B                9I3    
8190           8190ZP62020           CLA08190CL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP63670           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP63780           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZT43850           FL218190FL51000000005.000                    20180113MB1B                9I3    
8190           8190ZP63780           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP63670           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP63670           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP63670           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP63080           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP63080           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP63630           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP63630           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP62910           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP63890           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP63890           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP63800           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180113MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180113MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180113MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180113MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180113MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180113MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180113MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180113MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180113MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180113MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180113MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180113MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20180113MB1B                9I3    
8190           8190ZP63800           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP63710           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP63710           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZP63710           FLA08190FL21000000040.000                    20180113MB1B                9I3    
8190           8190ZU49310           FLA08190FL21000000300.000                    20180113MB1B                9I3    
8190           8190ZP66000           FLA08190FL21000000240.000                    20180113MB1B                9I3    
8190           8190ZP62630           FLA08190FL21000000300.000                    20180113MB1B                9I3    
