8190           8190ZQ88990           SX218190SX51000000015.000                    20171211MB1B                9I3    
8190           8190ZQ88990           SX218190SX51000000015.000                    20171211MB1B                9I3    
8190           8190ZQ88990           SX218190SX51000000015.000                    20171211MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZQ88320           SX218190SX51000000015.000                    20171211MB1B                9I3    
8190           8190ZQ88890           SX218190SX51000000015.000                    20171211MB1B                9I3    
8190           8190ZQ84860           SX218190SX51000000015.000                    20171211MB1B                9I3    
8190           8190ZQ84860           SX218190SX51000000015.000                    20171211MB1B                9I3    
8190           8190ZQ92710           SX218190SX51000000015.000                    20171211MB1B                9I3    
8190           8190ZQ91380           SX218190SX51000000015.000                    20171211MB1B                9I3    
8190           8190ZQ91380           SX218190SX51000000015.000                    20171211MB1B                9I3    
8190           8190ZQ84350           SX218190SX51000000015.000                    20171211MB1B                9I3    
8190           8190ZQ84350           SX218190SX51000000015.000                    20171211MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20171211MB1B                9I3    
8190           8190ZQ86690           SX218190SX51000000015.000                    20171211MB1B                9I3    
8190           8190ZQ93230           SX218190SX51000000015.000                    20171211MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20171211MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20171211MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20171211MB1B                9I3    
8190           8190ZQ89230           SX218190SX51000000015.000                    20171211MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZT43820           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZG2521B           CLA28190CL51000000180.000                    20171211MB1B                9I3    
8190           8190ZG2423B           CLA28190CL51000000180.000                    20171211MB1B                9I3    
8190           8190ZG2446B           CLA28190CL51000000180.000                    20171211MB1B                9I3    
8190           8190ZG2446B           CLA28190CL51000000180.000                    20171211MB1B                9I3    
8190           8190ZG2424B           CLA28190CL51000000180.000                    20171211MB1B                9I3    
8190           8190ZG2424B           CLA28190CL51000000180.000                    20171211MB1B                9I3    
8190           8190ZG2441B           CLA28190CL51000000180.000                    20171211MB1B                9I3    
8190           8190ZG2441B           CLA28190CL51000000180.000                    20171211MB1B                9I3    
8190           8190ZG2441B           CLA28190CL51000000180.000                    20171211MB1B                9I3    
8190           8190ZG2425B           CLA28190CL51000000180.000                    20171211MB1B                9I3    
8190           8190ZG2425B           CLA28190CL51000000180.000                    20171211MB1B                9I3    
8190           8190ZG2421B           CLA28190CL51000000180.000                    20171211MB1B                9I3    
8190           8190ZG2421B           CLA28190CL51000000180.000                    20171211MB1B                9I3    
8190           8190ZG2421B           CLA28190CL51000000180.000                    20171211MB1B                9I3    
8190           8190ZG2521B           CLA28190CL51000000180.000                    20171211MB1B                9I3    
8190           8190ZG2525B           CLA28190CL51000000180.000                    20171211MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZT43760           FL518190FL91000000005.000                    20171211MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20171211MB1B                9I3    
8190           8190ZQ88220           SX218190SX51000000015.000                    20171211MB1B                9I3    
8190           8190ZG2428B           CLA28190CL51000000180.000                    20171211MB1B                9I3    
8190           8190ZG2427B           CLA28190CL51000000180.000                    20171211MB1B                9I3    
8190           8190ZG2426B           CLA28190CL51000000180.000                    20171211MB1B                9I3    
8190           8190ZG2522B           CLA28190CL51000000180.000                    20171211MB1B                9I3    
8190           8190ZG2523B           CLA28190CL51000000180.000                    20171211MB1B                9I3    
8190           8190ZG2523B           CLA28190CL51000000180.000                    20171211MB1B                9I3    
8190           8190ZG2420B           CLA28190CL51000000180.000                    20171211MB1B                9I3    
8190           8190WF9814E           SX518190SX91000000015.000                    20171211MB1B                9I3    
8190           8190ZP64820           FLA08190FL21000000040.000                    20171211MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20171211MB1B                9I3    
8190           8190ZT43800           FL218190FL51000000005.000                    20171211MB1B                9I3    
8190           8190ZP64880           FLA08190FL21000000040.000                    20171211MB1B                9I3    
8190           8190ZP64880           FLA08190FL21000000040.000                    20171211MB1B                9I3    
8190           8190ZU49270           FLA08190FL21000000200.000                    20171211MB1B                9I3    
8190           8190ZU49270           FLA08190FL21000000200.000                    20171211MB1B                9I3    
8190           8190ZG2970C           CL218190CL51000000180.000                    20171211MB1B                9I3    
