8190           8190ZQ90040           CL218190CL51000000020.000                    20181004MB1B                9I3    
8190           8190ZQ89380           CL218190CL51000000020.000                    20181004MB1B                9I3    
8190           8190ZQ89380           CL218190CL51000000020.000                    20181004MB1B                9I3    
8190           8190ZP62990           FLA08190FL21000000500.000                    20181004MB1B                9I3    
8190           8190ZP62880           FLA08190FL21000000040.000                    20181004MB1B                9I3    
8190           8190ZP62880           FLA08190FL21000000040.000                    20181004MB1B                9I3    
8190           8190ZP62860           FLA08190FL21000000040.000                    20181004MB1B                9I3    
8190           8190ZQ88300           CL218190CL51000000020.000                    20181004MB1B                9I3    
8190           8190ZQ90390           CL218190CL51000000020.000                    20181004MB1B                9I3    
8190           8190ZQ90390           CL218190CL51000000020.000                    20181004MB1B                9I3    
8190           8190ZG29630           CLA28190CL21000000180.000                    20181004MB1B                9I3    
8190           8190ZQ91970           CL218190CL51000000020.000                    20181004MB1B                9I3    
8190           8190ZQ91970           CL218190CL51000000020.000                    20181004MB1B                9I3    
8190           8190ZG29630           CLA28190CL21000000180.000                    20181004MB1B                9I3    
8190           8190ZQ91970           CL218190CL51000000020.000                    20181004MB1B                9I3    
8190           8190ZQ91970           CL218190CL51000000020.000                    20181004MB1B                9I3    
8190           8190ZQ91900           CL218190CL51000000020.000                    20181004MB1B                9I3    
8190           8190ZG29630           CLA28190CL21000000180.000                    20181004MB1B                9I3    
8190           8190ZQ89940           CL218190CL51000000020.000                    20181004MB1B                9I3    
8190           8190ZQ89940           CL218190CL51000000020.000                    20181004MB1B                9I3    
8190           8190ZP62860           FLA08190FL21000000040.000                    20181004MB1B                9I3    
8190           8190ZE22640           FLA28190FL21000000030.000                    20181004MB1B                9I3    
8190           8190ZY13520           VNA08190CL51000000120.000                    20181004MB1B                9I3    
8190           8190ZY13490           VNA08190VN21000000060.000                    20181004MB1B                9I3    
8190           8190ZY13490           VNA08190VN21000000060.000                    20181004MB1B                9I3    
8190           8190ZQ86770           SX218190SX51000000015.000                    20181004MB1B                9I3    
8190           8190ZQ86770           SX218190SX51000000015.000                    20181004MB1B                9I3    
8190           8190ZQ87130           SX218190SX51000000015.000                    20181004MB1B                9I3    
8190           8190ZQ87130           SX218190SX51000000015.000                    20181004MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20181004MB1B                9I3    
8190           8190ZQ87220           SX218190SX51000000015.000                    20181004MB1B                9I3    
8190           8190ZQ84350           SX218190SX51000000015.000                    20181004MB1B                9I3    
8190           8190ZQ84350           SX218190SX51000000015.000                    20181004MB1B                9I3    
8190           8190ZP66740           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP63990           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP63990           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZY13520           VNA08190CL51000000120.000                    20181004MB1B                9I3    
8190           8190ZY13520           VNA08190SX51000000120.000                    20181004MB1B                9I3    
8190           8190ZY13520           VNA08190SX51000000120.000                    20181004MB1B                9I3    
8190           8190ZY13520           VNA08190VN51000000120.000                    20181004MB1B                9I3    
8190           8190ZY13520           VNA08190VN51000000120.000                    20181004MB1B                9I3    
8190           8190ZY13520           VNA08190VN51000000120.000                    20181004MB1B                9I3    
8190           8190ZP63660           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP63660           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP67460           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZP63990           SXA08190SX21000000030.000                    20181004MB1B                9I3    
8190           8190ZQ88320           SX218190SX51000000015.000                    20181004MB1B                9I3    
8190           8190ZQ88320           SX218190SX51000000015.000                    20181004MB1B                9I3    
8190           8190ZQ88400           SX218190SX51000000015.000                    20181004MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20181004MB1B                9I3    
8190           8190ZQ88650           SX218190SX51000000015.000                    20181004MB1B                9I3    
8190           8190ZQ88890           SX218190SX51000000015.000                    20181004MB1B                9I3    
8190           8190ZQ88890           SX218190SX51000000015.000                    20181004MB1B                9I3    
8190           8190ZQ86540           SX218190SX51000000015.000                    20181004MB1B                9I3    
8190           8190ZQ86540           SX218190SX51000000015.000                    20181004MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20181004MB1B                9I3    
8190           8190ZQ86460           SX218190SX51000000015.000                    20181004MB1B                9I3    
