8190           8190ZP62000           CLA08190CL21000000040.000                    20180924MB1B                9I3    
8190           8190ZE22610           FLA28190FL21000000030.000                    20180924MB1B                9I3    
8190           8190ZP63620           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP63410           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP63210           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180924MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180924MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180924MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180924MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180924MB1B                9I3    
8190           8190ZP62940           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP62940           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP62940           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZT43120           SX218190SX51000000008.000                    20180924MB1B                9I3    
8190           8190ZP62940           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180924MB1B                9I3    
8190           8190ZF2087C           SX218190SX51000000015.000                    20180924MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180924MB1B                9I3    
8190           8190ZP63210           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP63190           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP63190           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP63160           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP63160           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP63160           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP63120           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP63050           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP63050           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP63050           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP62940           FLA08190FL21000000040.000                    20180924MB1B                9I3    
8190           8190ZP62690           FLA08190FL21000000040.000                    20180924MB1B                9I3    
