8190           8190ZY13490           VNA08190VN21000000060.000                    20171205MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171205MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171205MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171205MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171205MB1B                9I3    
8190           8190WY9341C           SX218190SX51000000001.000                    20171205MB1B                9I3    
8190           8190ZP62130           CLA08190CL21000000040.000                    20171205MB1B                9I3    
8190           8190ZP62130           CLA08190CL21000000040.000                    20171205MB1B                9I3    
8190           8190ZP62020           CLA08190CL21000000040.000                    20171205MB1B                9I3    
8190           8190ZP62010           CLA08190CL21000000040.000                    20171205MB1B                9I3    
8190           8190ZP62000           CLA08190CL21000000040.000                    20171205MB1B                9I3    
8190           8190ZP61990           CLA08190CL21000000040.000                    20171205MB1B                9I3    
8190           8190ZP61980           CLA08190CL21000000040.000                    20171205MB1B                9I3    
8190           8190ZP61980           CLA08190CL21000000040.000                    20171205MB1B                9I3    
8190           8190ZP61980           CLA08190CL21000000040.000                    20171205MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171205MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171205MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171205MB1B                9I3    
8190           8190WZ9134C           SX218190SX51000000001.000                    20171205MB1B                9I3    
8190           8190ZP62020           CLA08190CL21000000040.000                    20171205MB1B                9I3    
8190           8190ZP62030           CLA08190CL21000000040.000                    20171205MB1B                9I3    
8190           8190ZP62110           CLA08190CL21000000040.000                    20171205MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20171205MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20171205MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20171205MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20171205MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20171205MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20171205MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20171205MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20171205MB1B                9I3    
8190           8190ZP62070           CLA08190CL21000000040.000                    20171205MB1B                9I3    
