8190           8190ZE22540           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22550           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22550           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22550           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22540           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22520           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22630           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22640           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22640           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22640           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22640           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22640           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22640           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22640           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22640           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22480           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZE22470           FLA28190FL21000000030.000                    20180216MB1B                9I3    
8190           8190ZP62170           CLA08190CL21000000040.000                    20180216MB1B                9I3    
8190           8190ZP62110           CLA08190CL21000000040.000                    20180216MB1B                9I3    
8190           8190ZP62100           CLA08190CL21000000040.000                    20180216MB1B                9I3    
8190           8190ZP62100           CLA08190CL21000000040.000                    20180216MB1B                9I3    
8190           8190ZP62090           CLA08190CL21000000040.000                    20180216MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20180216MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20180216MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20180216MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20180216MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20180216MB1B                9I3    
8190           8190ZP62110           CLA08190CL21000000040.000                    20180216MB1B                9I3    
8190           8190ZP62120           CLA08190CL21000000040.000                    20180216MB1B                9I3    
8190           8190ZP62170           CLA08190CL21000000040.000                    20180216MB1B                9I3    
8190           8190ZP62150           CLA08190CL21000000040.000                    20180216MB1B                9I3    
8190           8190ZP62150           CLA08190CL21000000040.000                    20180216MB1B                9I3    
8190           8190ZP62150           CLA08190CL21000000040.000                    20180216MB1B                9I3    
8190           8190ZP62130           CLA08190CL21000000040.000                    20180216MB1B                9I3    
8190           8190ZP62130           CLA08190CL21000000040.000                    20180216MB1B                9I3    
8190           8190ZP62130           CLA08190CL21000000040.000                    20180216MB1B                9I3    
8190           8190ZP61910           CLA08190CL21000000500.000                    20180216MB1B                9I3    
8190           8190ZP62120           CLA08190CL21000000040.000                    20180216MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20180216MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20180216MB1B                9I3    
8190           8190ZP62080           CLA08190CL21000000040.000                    20180216MB1B                9I3    
8190           8190WY75740           CL218190CL51000000020.000                    20180216MB1B                9I3    
8190           8190ZP61970           CLA08190CL21000000040.000                    20180216MB1B                9I3    
8190           8190WY75740           CL218190CL51000000020.000                    20180216MB1B                9I3    
8190           8190WY75740           CL218190CL51000000020.000                    20180216MB1B                9I3    
8190           8190WY75740           CL218190CL51000000020.000                    20180216MB1B                9I3    
8190           8190ZP61900           CLA08190CL21000000500.000                    20180216MB1B                9I3    
8190           8190WY75770           CL218190CL51000000020.000                    20180216MB1B                9I3    
8190           8190WY75770           CL218190CL51000000020.000                    20180216MB1B                9I3    
8190           8190WY75770           CL218190CL51000000020.000                    20180216MB1B                9I3    
8190           8190WY75740           CL218190CL51000000020.000                    20180216MB1B                9I3    
8190           8190ZP61980           CLA08190CL21000000040.000                    20180216MB1B                9I3    
8190           8190ZP62070           CLA08190CL21000000040.000                    20180216MB1B                9I3    
8190           8190ZP62070           CLA08190CL21000000040.000                    20180216MB1B                9I3    
8190           8190ZP62030           CLA08190CL21000000040.000                    20180216MB1B                9I3    
